Verb,Translation,ConjSingular,ConjPlural,Pattern,Notes
vaincre,побеждать,"<span class=""pronoun"">je</span> {{c1::vaincs}}<br><span class=""pronoun"">tu</span> {{c1::vaincs}}<br><span class=""pronoun"">il/elle</span> {{c1::vainc}}","<span class=""pronoun"">nous</span> {{c2::vainquons}}<br><span class=""pronoun"">vous</span> {{c2::vainquez}}<br><span class=""pronoun"">ils/elles</span> {{c2::vainquent}}",-aincre,qu au pluriel. Vaincre l'ennemi.
entretenir,поддерживать,"<span class=""pronoun"">j'</span>{{c1::entretiens}}<br><span class=""pronoun"">tu</span> {{c1::entretiens}}<br><span class=""pronoun"">il/elle</span> {{c1::entretient}}","<span class=""pronoun"">nous</span> {{c2::entretenons}}<br><span class=""pronoun"">vous</span> {{c2::entretenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::entretiennent}}",-enir,Comme tenir. S'entretenir avec.
pourvoir,обеспечивать,"<span class=""pronoun"">je</span> {{c1::pourvois}}<br><span class=""pronoun"">tu</span> {{c1::pourvois}}<br><span class=""pronoun"">il/elle</span> {{c1::pourvoit}}","<span class=""pronoun"">nous</span> {{c2::pourvoyons}}<br><span class=""pronoun"">vous</span> {{c2::pourvoyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::pourvoient}}",-oir,Comme voir. Pourvoir à ses besoins.
redevenir,снова становиться,"<span class=""pronoun"">je</span> {{c1::redeviens}}<br><span class=""pronoun"">tu</span> {{c1::redeviens}}<br><span class=""pronoun"">il/elle</span> {{c1::redevient}}","<span class=""pronoun"">nous</span> {{c2::redevenons}}<br><span class=""pronoun"">vous</span> {{c2::redevenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::redeviennent}}",-enir,Comme venir.
fondre,таять,"<span class=""pronoun"">je</span> {{c1::fonds}}<br><span class=""pronoun"">tu</span> {{c1::fonds}}<br><span class=""pronoun"">il/elle</span> {{c1::fond}}","<span class=""pronoun"">nous</span> {{c2::fondons}}<br><span class=""pronoun"">vous</span> {{c2::fondez}}<br><span class=""pronoun"">ils/elles</span> {{c2::fondent}}",-ondre,La glace fond. Fondre en larmes.
soumettre,подчинять,"<span class=""pronoun"">je</span> {{c1::soumets}}<br><span class=""pronoun"">tu</span> {{c1::soumets}}<br><span class=""pronoun"">il/elle</span> {{c1::soumet}}","<span class=""pronoun"">nous</span> {{c2::soumettons}}<br><span class=""pronoun"">vous</span> {{c2::soumettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::soumettent}}",-ettre,Comme mettre. Se soumettre à.
transmettre,передавать,"<span class=""pronoun"">je</span> {{c1::transmets}}<br><span class=""pronoun"">tu</span> {{c1::transmets}}<br><span class=""pronoun"">il/elle</span> {{c1::transmet}}","<span class=""pronoun"">nous</span> {{c2::transmettons}}<br><span class=""pronoun"">vous</span> {{c2::transmettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::transmettent}}",-ettre,Comme mettre.
luire,светить,"<span class=""pronoun"">je</span> {{c1::luis}}<br><span class=""pronoun"">tu</span> {{c1::luis}}<br><span class=""pronoun"">il/elle</span> {{c1::luit}}","<span class=""pronoun"">nous</span> {{c2::luisons}}<br><span class=""pronoun"">vous</span> {{c2::luisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::luisent}}",-uire,Comme conduire. Le soleil luit.
suspendre,подвешивать,"<span class=""pronoun"">je</span> {{c1::suspends}}<br><span class=""pronoun"">tu</span> {{c1::suspends}}<br><span class=""pronoun"">il/elle</span> {{c1::suspend}}","<span class=""pronoun"">nous</span> {{c2::suspendons}}<br><span class=""pronoun"">vous</span> {{c2::suspendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::suspendent}}",-endre régulier,Suspendre un employé.
entreprendre,предпринимать,"<span class=""pronoun"">j'</span>{{c1::entreprends}}<br><span class=""pronoun"">tu</span> {{c1::entreprends}}<br><span class=""pronoun"">il/elle</span> {{c1::entreprend}}","<span class=""pronoun"">nous</span> {{c2::entreprenons}}<br><span class=""pronoun"">vous</span> {{c2::entreprenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::entreprennent}}",-endre,Comme prendre.
traduire,переводить,"<span class=""pronoun"">je</span> {{c1::traduis}}<br><span class=""pronoun"">tu</span> {{c1::traduis}}<br><span class=""pronoun"">il/elle</span> {{c1::traduit}}","<span class=""pronoun"">nous</span> {{c2::traduisons}}<br><span class=""pronoun"">vous</span> {{c2::traduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::traduisent}}",-uire,Comme conduire.
tordre,скручивать,"<span class=""pronoun"">je</span> {{c1::tords}}<br><span class=""pronoun"">tu</span> {{c1::tords}}<br><span class=""pronoun"">il/elle</span> {{c1::tord}}","<span class=""pronoun"">nous</span> {{c2::tordons}}<br><span class=""pronoun"">vous</span> {{c2::tordez}}<br><span class=""pronoun"">ils/elles</span> {{c2::tordent}}",-ordre,Se tordre la cheville.
concevoir,задумывать,"<span class=""pronoun"">je</span> {{c1::conçois}}<br><span class=""pronoun"">tu</span> {{c1::conçois}}<br><span class=""pronoun"">il/elle</span> {{c1::conçoit}}","<span class=""pronoun"">nous</span> {{c2::concevons}}<br><span class=""pronoun"">vous</span> {{c2::concevez}}<br><span class=""pronoun"">ils/elles</span> {{c2::conçoivent}}",-cevoir,Comme recevoir.
correspondre,соответствовать,"<span class=""pronoun"">je</span> {{c1::corresponds}}<br><span class=""pronoun"">tu</span> {{c1::corresponds}}<br><span class=""pronoun"">il/elle</span> {{c1::correspond}}","<span class=""pronoun"">nous</span> {{c2::correspondons}}<br><span class=""pronoun"">vous</span> {{c2::correspondez}}<br><span class=""pronoun"">ils/elles</span> {{c2::correspondent}}",-ondre,Correspondre à.
ressortir,выделяться,"<span class=""pronoun"">je</span> {{c1::ressors}}<br><span class=""pronoun"">tu</span> {{c1::ressors}}<br><span class=""pronoun"">il/elle</span> {{c1::ressort}}","<span class=""pronoun"">nous</span> {{c2::ressortons}}<br><span class=""pronoun"">vous</span> {{c2::ressortez}}<br><span class=""pronoun"">ils/elles</span> {{c2::ressortent}}",-tir,Comme sortir (mouvement). Mais ressortir à = 2e groupe!
cuire,готовить,"<span class=""pronoun"">je</span> {{c1::cuis}}<br><span class=""pronoun"">tu</span> {{c1::cuis}}<br><span class=""pronoun"">il/elle</span> {{c1::cuit}}","<span class=""pronoun"">nous</span> {{c2::cuisons}}<br><span class=""pronoun"">vous</span> {{c2::cuisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::cuisent}}",-uire,Comme conduire. Faire cuire.
percevoir,воспринимать,"<span class=""pronoun"">je</span> {{c1::perçois}}<br><span class=""pronoun"">tu</span> {{c1::perçois}}<br><span class=""pronoun"">il/elle</span> {{c1::perçoit}}","<span class=""pronoun"">nous</span> {{c2::percevons}}<br><span class=""pronoun"">vous</span> {{c2::percevez}}<br><span class=""pronoun"">ils/elles</span> {{c2::perçoivent}}",-cevoir,Comme recevoir.
distraire,развлекать,"<span class=""pronoun"">je</span> {{c1::distrais}}<br><span class=""pronoun"">tu</span> {{c1::distrais}}<br><span class=""pronoun"">il/elle</span> {{c1::distrait}}","<span class=""pronoun"">nous</span> {{c2::distrayons}}<br><span class=""pronoun"">vous</span> {{c2::distrayez}}<br><span class=""pronoun"">ils/elles</span> {{c2::distraient}}",-aire (y au plur),y au pluriel. Se distraire.
émouvoir,волновать,"<span class=""pronoun"">j'</span>{{c1::émeus}}<br><span class=""pronoun"">tu</span> {{c1::émeus}}<br><span class=""pronoun"">il/elle</span> {{c1::émeut}}","<span class=""pronoun"">nous</span> {{c2::émouvons}}<br><span class=""pronoun"">vous</span> {{c2::émouvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::émeuvent}}",-ouvoir,Comme mouvoir. S'émouvoir.
défaire,расстёгивать,"<span class=""pronoun"">je</span> {{c1::défais}}<br><span class=""pronoun"">tu</span> {{c1::défais}}<br><span class=""pronoun"">il/elle</span> {{c1::défait}}","<span class=""pronoun"">nous</span> {{c2::défaisons}}<br><span class=""pronoun"">vous</span> {{c2::défaites}}<br><span class=""pronoun"">ils/elles</span> {{c2::défont}}",très irrégulier,Comme faire. Défaire sa valise.
introduire,вводить,"<span class=""pronoun"">j'</span>{{c1::introduis}}<br><span class=""pronoun"">tu</span> {{c1::introduis}}<br><span class=""pronoun"">il/elle</span> {{c1::introduit}}","<span class=""pronoun"">nous</span> {{c2::introduisons}}<br><span class=""pronoun"">vous</span> {{c2::introduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::introduisent}}",-uire,Comme conduire. S'introduire.
séduire,соблазнять,"<span class=""pronoun"">je</span> {{c1::séduis}}<br><span class=""pronoun"">tu</span> {{c1::séduis}}<br><span class=""pronoun"">il/elle</span> {{c1::séduit}}","<span class=""pronoun"">nous</span> {{c2::séduisons}}<br><span class=""pronoun"">vous</span> {{c2::séduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::séduisent}}",-uire,Comme conduire.
cueillir,собирать,"<span class=""pronoun"">je</span> {{c1::cueille}}<br><span class=""pronoun"">tu</span> {{c1::cueilles}}<br><span class=""pronoun"">il/elle</span> {{c1::cueille}}","<span class=""pronoun"">nous</span> {{c2::cueillons}}<br><span class=""pronoun"">vous</span> {{c2::cueillez}}<br><span class=""pronoun"">ils/elles</span> {{c2::cueillent}}",-illir (comme -er),Comme -er! Cueillir des fleurs.
redescendre,спускаться снова,"<span class=""pronoun"">je</span> {{c1::redescends}}<br><span class=""pronoun"">tu</span> {{c1::redescends}}<br><span class=""pronoun"">il/elle</span> {{c1::redescend}}","<span class=""pronoun"">nous</span> {{c2::redescendons}}<br><span class=""pronoun"">vous</span> {{c2::redescendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::redescendent}}",-endre régulier,Comme descendre.
recueillir,собирать,"<span class=""pronoun"">je</span> {{c1::recueille}}<br><span class=""pronoun"">tu</span> {{c1::recueilles}}<br><span class=""pronoun"">il/elle</span> {{c1::recueille}}","<span class=""pronoun"">nous</span> {{c2::recueillons}}<br><span class=""pronoun"">vous</span> {{c2::recueillez}}<br><span class=""pronoun"">ils/elles</span> {{c2::recueillent}}",-illir (comme -er),Comme cueillir.
consentir,соглашаться,"<span class=""pronoun"">je</span> {{c1::consens}}<br><span class=""pronoun"">tu</span> {{c1::consens}}<br><span class=""pronoun"">il/elle</span> {{c1::consent}}","<span class=""pronoun"">nous</span> {{c2::consentons}}<br><span class=""pronoun"">vous</span> {{c2::consentez}}<br><span class=""pronoun"">ils/elles</span> {{c2::consentent}}",-tir,Comme sentir. Consentir à.
clore,закрывать,"<span class=""pronoun"">je</span> {{c1::clos}}<br><span class=""pronoun"">tu</span> {{c1::clos}}<br><span class=""pronoun"">il/elle</span> {{c1::clôt}}","<span class=""pronoun"">nous</span> {{c2::closons}}<br><span class=""pronoun"">vous</span> {{c2::closez}}<br><span class=""pronoun"">ils/elles</span> {{c2::closent}}",défectif,Peu utilisé. Clore un débat.
acquérir,приобретать,"<span class=""pronoun"">j'</span>{{c1::acquiers}}<br><span class=""pronoun"">tu</span> {{c1::acquiers}}<br><span class=""pronoun"">il/elle</span> {{c1::acquiert}}","<span class=""pronoun"">nous</span> {{c2::acquérons}}<br><span class=""pronoun"">vous</span> {{c2::acquérez}}<br><span class=""pronoun"">ils/elles</span> {{c2::acquièrent}}",-érir,"2 radicaux: acquier- (sing/3pl), acquér- (nous/vous)."
reproduire,воспроизводить,"<span class=""pronoun"">je</span> {{c1::reproduis}}<br><span class=""pronoun"">tu</span> {{c1::reproduis}}<br><span class=""pronoun"">il/elle</span> {{c1::reproduit}}","<span class=""pronoun"">nous</span> {{c2::reproduisons}}<br><span class=""pronoun"">vous</span> {{c2::reproduisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reproduisent}}",-uire,Comme conduire. Se reproduire.
fendre,раскалывать,"<span class=""pronoun"">je</span> {{c1::fends}}<br><span class=""pronoun"">tu</span> {{c1::fends}}<br><span class=""pronoun"">il/elle</span> {{c1::fend}}","<span class=""pronoun"">nous</span> {{c2::fendons}}<br><span class=""pronoun"">vous</span> {{c2::fendez}}<br><span class=""pronoun"">ils/elles</span> {{c2::fendent}}",-endre régulier,Fendre du bois.
conquérir,завоёвывать,"<span class=""pronoun"">je</span> {{c1::conquiers}}<br><span class=""pronoun"">tu</span> {{c1::conquiers}}<br><span class=""pronoun"">il/elle</span> {{c1::conquiert}}","<span class=""pronoun"">nous</span> {{c2::conquérons}}<br><span class=""pronoun"">vous</span> {{c2::conquérez}}<br><span class=""pronoun"">ils/elles</span> {{c2::conquièrent}}",-érir,Comme acquérir.
débattre,обсуждать,"<span class=""pronoun"">je</span> {{c1::débats}}<br><span class=""pronoun"">tu</span> {{c1::débats}}<br><span class=""pronoun"">il/elle</span> {{c1::débat}}","<span class=""pronoun"">nous</span> {{c2::débattons}}<br><span class=""pronoun"">vous</span> {{c2::débattez}}<br><span class=""pronoun"">ils/elles</span> {{c2::débattent}}",-attre,Comme battre. Débattre d'une question.
déplaire,не нравиться,"<span class=""pronoun"">je</span> {{c1::déplais}}<br><span class=""pronoun"">tu</span> {{c1::déplais}}<br><span class=""pronoun"">il/elle</span> {{c1::déplaît}}","<span class=""pronoun"">nous</span> {{c2::déplaisons}}<br><span class=""pronoun"">vous</span> {{c2::déplaisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::déplaisent}}",-aire,Comme plaire. Ça me déplaît.
revivre,переживать заново,"<span class=""pronoun"">je</span> {{c1::revis}}<br><span class=""pronoun"">tu</span> {{c1::revis}}<br><span class=""pronoun"">il/elle</span> {{c1::revit}}","<span class=""pronoun"">nous</span> {{c2::revivons}}<br><span class=""pronoun"">vous</span> {{c2::revivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::revivent}}",-ivre,Comme vivre.
provenir,происходить,"<span class=""pronoun"">je</span> {{c1::proviens}}<br><span class=""pronoun"">tu</span> {{c1::proviens}}<br><span class=""pronoun"">il/elle</span> {{c1::provient}}","<span class=""pronoun"">nous</span> {{c2::provenons}}<br><span class=""pronoun"">vous</span> {{c2::provenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::proviennent}}",-enir,Comme venir. Provenir de.
relire,перечитывать,"<span class=""pronoun"">je</span> {{c1::relis}}<br><span class=""pronoun"">tu</span> {{c1::relis}}<br><span class=""pronoun"">il/elle</span> {{c1::relit}}","<span class=""pronoun"">nous</span> {{c2::relisons}}<br><span class=""pronoun"">vous</span> {{c2::relisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::relisent}}",-ire,Comme lire.
contraindre,принуждать,"<span class=""pronoun"">je</span> {{c1::contrains}}<br><span class=""pronoun"">tu</span> {{c1::contrains}}<br><span class=""pronoun"">il/elle</span> {{c1::contraint}}","<span class=""pronoun"">nous</span> {{c2::contraignons}}<br><span class=""pronoun"">vous</span> {{c2::contraignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::contraignent}}",-aindre,gn au pluriel. Contraindre à + inf.
coudre,шить,"<span class=""pronoun"">je</span> {{c1::couds}}<br><span class=""pronoun"">tu</span> {{c1::couds}}<br><span class=""pronoun"">il/elle</span> {{c1::coud}}","<span class=""pronoun"">nous</span> {{c2::cousons}}<br><span class=""pronoun"">vous</span> {{c2::cousez}}<br><span class=""pronoun"">ils/elles</span> {{c2::cousent}}",-oudre,"Attention: coud- (sing), cous- (plur)."
nuire,вредить,"<span class=""pronoun"">je</span> {{c1::nuis}}<br><span class=""pronoun"">tu</span> {{c1::nuis}}<br><span class=""pronoun"">il/elle</span> {{c1::nuit}}","<span class=""pronoun"">nous</span> {{c2::nuisons}}<br><span class=""pronoun"">vous</span> {{c2::nuisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::nuisent}}",-uire,Comme conduire. Nuire à qqn.
exclure,исключать,"<span class=""pronoun"">j'</span>{{c1::exclus}}<br><span class=""pronoun"">tu</span> {{c1::exclus}}<br><span class=""pronoun"">il/elle</span> {{c1::exclut}}","<span class=""pronoun"">nous</span> {{c2::excluons}}<br><span class=""pronoun"">vous</span> {{c2::excluez}}<br><span class=""pronoun"">ils/elles</span> {{c2::excluent}}",-clure,Comme conclure.
entrevoir,мельком видеть,"<span class=""pronoun"">j'</span>{{c1::entrevois}}<br><span class=""pronoun"">tu</span> {{c1::entrevois}}<br><span class=""pronoun"">il/elle</span> {{c1::entrevoit}}","<span class=""pronoun"">nous</span> {{c2::entrevoyons}}<br><span class=""pronoun"">vous</span> {{c2::entrevoyez}}<br><span class=""pronoun"">ils/elles</span> {{c2::entrevoient}}",-oir,Comme voir.
compromettre,компрометировать,"<span class=""pronoun"">je</span> {{c1::compromets}}<br><span class=""pronoun"">tu</span> {{c1::compromets}}<br><span class=""pronoun"">il/elle</span> {{c1::compromet}}","<span class=""pronoun"">nous</span> {{c2::compromettons}}<br><span class=""pronoun"">vous</span> {{c2::compromettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::compromettent}}",-ettre,Comme mettre. Se compromettre.
émettre,излучать,"<span class=""pronoun"">j'</span>{{c1::émets}}<br><span class=""pronoun"">tu</span> {{c1::émets}}<br><span class=""pronoun"">il/elle</span> {{c1::émet}}","<span class=""pronoun"">nous</span> {{c2::émettons}}<br><span class=""pronoun"">vous</span> {{c2::émettez}}<br><span class=""pronoun"">ils/elles</span> {{c2::émettent}}",-ettre,Comme mettre.
élire,избирать,"<span class=""pronoun"">j'</span>{{c1::élis}}<br><span class=""pronoun"">tu</span> {{c1::élis}}<br><span class=""pronoun"">il/elle</span> {{c1::élit}}","<span class=""pronoun"">nous</span> {{c2::élisons}}<br><span class=""pronoun"">vous</span> {{c2::élisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::élisent}}",-ire,Comme lire.
revêtir,облачать,"<span class=""pronoun"">je</span> {{c1::revêts}}<br><span class=""pronoun"">tu</span> {{c1::revêts}}<br><span class=""pronoun"">il/elle</span> {{c1::revêt}}","<span class=""pronoun"">nous</span> {{c2::revêtons}}<br><span class=""pronoun"">vous</span> {{c2::revêtez}}<br><span class=""pronoun"">ils/elles</span> {{c2::revêtent}}",défectif,Comme vêtir. Revêtir une importance.
feindre,притворяться,"<span class=""pronoun"">je</span> {{c1::feins}}<br><span class=""pronoun"">tu</span> {{c1::feins}}<br><span class=""pronoun"">il/elle</span> {{c1::feint}}","<span class=""pronoun"">nous</span> {{c2::feignons}}<br><span class=""pronoun"">vous</span> {{c2::feignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::feignent}}",-eindre,gn au pluriel. Feindre de + inf.
détenir,содержать под стражей,"<span class=""pronoun"">je</span> {{c1::détiens}}<br><span class=""pronoun"">tu</span> {{c1::détiens}}<br><span class=""pronoun"">il/elle</span> {{c1::détient}}","<span class=""pronoun"">nous</span> {{c2::détenons}}<br><span class=""pronoun"">vous</span> {{c2::détenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::détiennent}}",-enir,Comme tenir.
rouvrir,открывать снова,"<span class=""pronoun"">je</span> {{c1::rouvre}}<br><span class=""pronoun"">tu</span> {{c1::rouvres}}<br><span class=""pronoun"">il/elle</span> {{c1::rouvre}}","<span class=""pronoun"">nous</span> {{c2::rouvrons}}<br><span class=""pronoun"">vous</span> {{c2::rouvrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rouvrent}}",-vrir (comme -er),Comme ouvrir.
accourir,прибегать,"<span class=""pronoun"">j'</span>{{c1::accours}}<br><span class=""pronoun"">tu</span> {{c1::accours}}<br><span class=""pronoun"">il/elle</span> {{c1::accourt}}","<span class=""pronoun"">nous</span> {{c2::accourons}}<br><span class=""pronoun"">vous</span> {{c2::accourez}}<br><span class=""pronoun"">ils/elles</span> {{c2::accourent}}",-ourir,Comme courir.
extraire,извлекать,"<span class=""pronoun"">j'</span>{{c1::extrais}}<br><span class=""pronoun"">tu</span> {{c1::extrais}}<br><span class=""pronoun"">il/elle</span> {{c1::extrait}}","<span class=""pronoun"">nous</span> {{c2::extrayons}}<br><span class=""pronoun"">vous</span> {{c2::extrayez}}<br><span class=""pronoun"">ils/elles</span> {{c2::extraient}}",-aire (y au plur),Comme distraire.
prescrire,прописывать,"<span class=""pronoun"">je</span> {{c1::prescris}}<br><span class=""pronoun"">tu</span> {{c1::prescris}}<br><span class=""pronoun"">il/elle</span> {{c1::prescrit}}","<span class=""pronoun"">nous</span> {{c2::prescrivons}}<br><span class=""pronoun"">vous</span> {{c2::prescrivez}}<br><span class=""pronoun"">ils/elles</span> {{c2::prescrivent}}",-ire,Comme écrire.
rabattre,опускать,"<span class=""pronoun"">je</span> {{c1::rabats}}<br><span class=""pronoun"">tu</span> {{c1::rabats}}<br><span class=""pronoun"">il/elle</span> {{c1::rabat}}","<span class=""pronoun"">nous</span> {{c2::rabattons}}<br><span class=""pronoun"">vous</span> {{c2::rabattez}}<br><span class=""pronoun"">ils/elles</span> {{c2::rabattent}}",-attre,Comme battre. Se rabattre sur.
bouillir,кипеть,"<span class=""pronoun"">je</span> {{c1::bous}}<br><span class=""pronoun"">tu</span> {{c1::bous}}<br><span class=""pronoun"">il/elle</span> {{c1::bout}}","<span class=""pronoun"">nous</span> {{c2::bouillons}}<br><span class=""pronoun"">vous</span> {{c2::bouillez}}<br><span class=""pronoun"">ils/elles</span> {{c2::bouillent}}",unique,"bou- (sing), bouill- (plur). L'eau bout."
renaître,возрождаться,"<span class=""pronoun"">je</span> {{c1::renais}}<br><span class=""pronoun"">tu</span> {{c1::renais}}<br><span class=""pronoun"">il/elle</span> {{c1::renaît}}","<span class=""pronoun"">nous</span> {{c2::renaissons}}<br><span class=""pronoun"">vous</span> {{c2::renaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::renaissent}}",-aître,Comme naître.
redire,повторять,"<span class=""pronoun"">je</span> {{c1::redis}}<br><span class=""pronoun"">tu</span> {{c1::redis}}<br><span class=""pronoun"">il/elle</span> {{c1::redit}}","<span class=""pronoun"">nous</span> {{c2::redisons}}<br><span class=""pronoun"">vous</span> {{c2::redites}}<br><span class=""pronoun"">ils/elles</span> {{c2::redisent}}",irrégulier -ire,Comme dire. Vous redites!
gésir,лежать (о больном),"<span class=""pronoun"">je</span> {{c1::gis}}<br><span class=""pronoun"">tu</span> {{c1::gis}}<br><span class=""pronoun"">il/elle</span> {{c1::gît}}","<span class=""pronoun"">nous</span> {{c2::gisons}}<br><span class=""pronoun"">vous</span> {{c2::gisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::gisent}}",défectif,Surtout: ci-gît (надгробие).
survenir,случаться,"<span class=""pronoun"">je</span> {{c1::surviens}}<br><span class=""pronoun"">tu</span> {{c1::surviens}}<br><span class=""pronoun"">il/elle</span> {{c1::survient}}","<span class=""pronoun"">nous</span> {{c2::survenons}}<br><span class=""pronoun"">vous</span> {{c2::survenez}}<br><span class=""pronoun"">ils/elles</span> {{c2::surviennent}}",-enir,Comme venir.
maudire,проклинать,"<span class=""pronoun"">je</span> {{c1::maudis}}<br><span class=""pronoun"">tu</span> {{c1::maudis}}<br><span class=""pronoun"">il/elle</span> {{c1::maudit}}","<span class=""pronoun"">nous</span> {{c2::maudissons}}<br><span class=""pronoun"">vous</span> {{c2::maudissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::maudissent}}",mixte,Attention: -iss- au pluriel (comme 2e groupe)!
pressentir,предчувствовать,"<span class=""pronoun"">je</span> {{c1::pressens}}<br><span class=""pronoun"">tu</span> {{c1::pressens}}<br><span class=""pronoun"">il/elle</span> {{c1::pressent}}","<span class=""pronoun"">nous</span> {{c2::pressentons}}<br><span class=""pronoun"">vous</span> {{c2::pressentez}}<br><span class=""pronoun"">ils/elles</span> {{c2::pressentent}}",-tir,Comme sentir.
étreindre,обнимать,"<span class=""pronoun"">j'</span>{{c1::étreins}}<br><span class=""pronoun"">tu</span> {{c1::étreins}}<br><span class=""pronoun"">il/elle</span> {{c1::étreint}}","<span class=""pronoun"">nous</span> {{c2::étreignons}}<br><span class=""pronoun"">vous</span> {{c2::étreignez}}<br><span class=""pronoun"">ils/elles</span> {{c2::étreignent}}",-eindre,gn au pluriel.
advenir,случаться,"<span class=""pronoun"">il</span> {{c1::advient}}",—,impersonnel,Surtout: quoi qu'il advienne.
entrouvrir,приоткрывать,"<span class=""pronoun"">j'</span>{{c1::entrouvre}}<br><span class=""pronoun"">tu</span> {{c1::entrouvres}}<br><span class=""pronoun"">il/elle</span> {{c1::entrouvre}}","<span class=""pronoun"">nous</span> {{c2::entrouvrons}}<br><span class=""pronoun"">vous</span> {{c2::entrouvrez}}<br><span class=""pronoun"">ils/elles</span> {{c2::entrouvrent}}",-vrir (comme -er),Comme ouvrir.
instruire,обучать,"<span class=""pronoun"">j'</span>{{c1::instruis}}<br><span class=""pronoun"">tu</span> {{c1::instruis}}<br><span class=""pronoun"">il/elle</span> {{c1::instruit}}","<span class=""pronoun"">nous</span> {{c2::instruisons}}<br><span class=""pronoun"">vous</span> {{c2::instruisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::instruisent}}",-uire,Comme conduire.
repentir,раскаиваться,"<span class=""pronoun"">je</span> {{c1::me repens}}<br><span class=""pronoun"">tu</span> {{c1::te repens}}<br><span class=""pronoun"">il/elle</span> {{c1::se repent}}","<span class=""pronoun"">nous</span> {{c2::nous repentons}}<br><span class=""pronoun"">vous</span> {{c2::vous repentez}}<br><span class=""pronoun"">ils/elles</span> {{c2::se repentent}}",-tir,Comme sentir. Toujours réfléchi: se repentir de.
prédire,предсказывать,"<span class=""pronoun"">je</span> {{c1::prédis}}<br><span class=""pronoun"">tu</span> {{c1::prédis}}<br><span class=""pronoun"">il/elle</span> {{c1::prédit}}","<span class=""pronoun"">nous</span> {{c2::prédisons}}<br><span class=""pronoun"">vous</span> {{c2::prédisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::prédisent}}",-ire,Comme dire. MAIS vous prédisez (pas *prédites)!
réapparaître,появляться снова,"<span class=""pronoun"">je</span> {{c1::réapparais}}<br><span class=""pronoun"">tu</span> {{c1::réapparais}}<br><span class=""pronoun"">il/elle</span> {{c1::réapparaît}}","<span class=""pronoun"">nous</span> {{c2::réapparaissons}}<br><span class=""pronoun"">vous</span> {{c2::réapparaissez}}<br><span class=""pronoun"">ils/elles</span> {{c2::réapparaissent}}",-aître,Comme apparaître.
reconstruire,восстанавливать,"<span class=""pronoun"">je</span> {{c1::reconstruis}}<br><span class=""pronoun"">tu</span> {{c1::reconstruis}}<br><span class=""pronoun"">il/elle</span> {{c1::reconstruit}}","<span class=""pronoun"">nous</span> {{c2::reconstruisons}}<br><span class=""pronoun"">vous</span> {{c2::reconstruisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::reconstruisent}}",-uire,Comme construire.
contredire,противоречить,"<span class=""pronoun"">je</span> {{c1::contredis}}<br><span class=""pronoun"">tu</span> {{c1::contredis}}<br><span class=""pronoun"">il/elle</span> {{c1::contredit}}","<span class=""pronoun"">nous</span> {{c2::contredisons}}<br><span class=""pronoun"">vous</span> {{c2::contredisez}}<br><span class=""pronoun"">ils/elles</span> {{c2::contredisent}}",-ire,Comme dire. MAIS vous contredisez!
dissoudre,растворять,"<span class=""pronoun"">je</span> {{c1::dissous}}<br><span class=""pronoun"">tu</span> {{c1::dissous}}<br><span class=""pronoun"">il/elle</span> {{c1::dissout}}","<span class=""pronoun"">nous</span> {{c2::dissolvons}}<br><span class=""pronoun"">vous</span> {{c2::dissolvez}}<br><span class=""pronoun"">ils/elles</span> {{c2::dissolvent}}",-oudre,"Attention: dissou- (sing), dissolv- (plur)."
