French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
agressant; agressante,раздражающий,adj,Cette musique forte est <b>agressante</b>.,Эта громкая музыка <b>раздражающая</b>.,Familier. France: stressant / agressif.,😤,quebecismes
almatois; almatoise,из Альмы,adj,La fête <b>almatoise</b> attire des milliers de visiteurs.,<b>Альмовский</b> праздник привлекает тысячи посетителей.,D'Alma. Ville du Saguenay–Lac-Saint-Jean.,📍,quebecismes
amateure,любительница,adj,Elle est photographe <b>amateure</b>.,Она фотограф-<b>любительница</b>.,Féminin d'amateur. Forme québécoise.,📷,quebecismes
un applet,апплет,m,Cet <b>applet</b> permet de calculer les taxes.,Этот <b>апплет</b> позволяет рассчитать налоги.,Informatique. Aussi: applette. Petit programme.,💻,quebecismes
une assermentation,присяга,f,L'<b>assermentation</b> des ministres a eu lieu ce matin.,<b>Присяга</b> министров состоялась этим утром.,Prestation de serment. Terme juridique/politique.,⚖️,quebecismes
attiner,дразнить (акадийск.),v,Arrête d'<b>attiner</b> ton cousin !,Хватит <b>дразнить</b> двоюродного брата!,Acadien. France: taquiner. Groupe 1 (-er).,😜,quebecismes
une autocueillette,самосбор,f,L'<b>autocueillette</b> de pommes ouvre en septembre.,<b>Самосбор</b> яблок открывается в сентябре.,Cueillette par le consommateur. Populaire au Québec.,🍎,quebecismes
avironner,грести,v,On va <b>avironner</b> sur le lac.,Мы пойдём <b>грести</b> на озере.,France: pagayer / ramer. Groupe 1 (-er).,🚣,quebecismes
un babillard,доска объявлений,m,J'ai affiché l'annonce sur le <b>babillard</b>.,Я повесил объявление на <b>доску</b>.,France: tableau d'affichage. Courant.,📌,quebecismes
une berçante,кресло-качалка,f,Grand-père lit dans sa <b>berçante</b>.,Дедушка читает в своём <b>кресле-качалке</b>.,Aussi: chaise berçante. France: fauteuil à bascule.,🪑,quebecismes
un blanchon,бельёк (детёныш тюленя),m,Les <b>blanchons</b> naissent sur la banquise.,<b>Бельки</b> рождаются на льдине.,Petit du phoque. Îles-de-la-Madeleine.,🦭,quebecismes
boisbriannais; boisbriannaise,из Буабриана,adj,Le festival <b>boisbriannais</b> a lieu en été.,<b>Буабрианский</b> фестиваль проходит летом.,De Boisbriand. Ville de la région de Montréal.,📍,quebecismes
un brayon,тряпка (акадийск.),m,Passe-moi le <b>brayon</b> pour essuyer la table.,Дай мне <b>тряпку</b> протереть стол.,Acadien. France: chiffon.,🧹,quebecismes
brossardois; brossardoise,из Броссара,adj,La communauté <b>brossardoise</b> est multiculturelle.,<b>Броссарская</b> община многокультурная.,De Brossard. Ville de la Rive-Sud de Montréal.,📍,quebecismes
un brûlement,жжение,m,J'ai un <b>brûlement</b> d'estomac.,У меня <b>жжение</b> в желудке.,France: brûlure (sensation). Médical.,🔥,quebecismes
bâsir,прятать (акадийск.),v,Où as-tu <b>bâsi</b> mes clés ?,Куда ты <b>спрятал</b> мои ключи?,Acadien. Disparaître / cacher. Groupe 2 (-ir).,🔍,quebecismes
une bébite,насекомое,f,Il y a des <b>bébites</b> dans le jardin.,В саду есть <b>насекомые</b>.,Aussi: bibite bibitte. Variante de bébitte.,🐜,quebecismes
cajun,каджунский,adj,La musique <b>cajun</b> vient de Louisiane.,<b>Каджунская</b> музыка родом из Луизианы.,Descendants des Acadiens en Louisiane.,🎵,quebecismes
un camelot; une camelot,разносчик газет,m,Le <b>camelot</b> passe tous les matins.,<b>Разносчик газет</b> приходит каждое утро.,France: livreur de journaux. Métier en voie de disparition.,📰,quebecismes
caquiste,член партии CAQ,adj,Le gouvernement <b>caquiste</b> a été élu en 2018.,<b>Кааковское</b> правительство было избрано в 2018.,Coalition Avenir Québec. Parti politique.,🏛️,quebecismes
une censeure,цензорша,f,La <b>censeure</b> a approuvé le film.,<b>Цензорша</b> одобрила фильм.,Féminin de censeur. Terme administratif.,📋,quebecismes
charlevoisien; charlevoisienne,из Шарлевуа,adj,Les paysages <b>charlevoisiens</b> sont magnifiques.,<b>Шарлевуазские</b> пейзажи великолепны.,De Charlevoix. Région touristique.,⛰️,quebecismes
chibougamois; chibougamoise,из Шибугамо,adj,L'économie <b>chibougamoise</b> repose sur les mines.,Экономика <b>Шибугамо</b> основана на горнодобыче.,De Chibougamau. Ville minière du Nord.,⛏️,quebecismes
chicoutimien; chicoutimienne,из Шикутими,adj,L'accent <b>chicoutimien</b> est distinct.,<b>Шикутимийский</b> акцент особенный.,De Chicoutimi. Ville du Saguenay.,📍,quebecismes
une chocolatine,шоколадный круассан,f,Je prends une <b>chocolatine</b> avec mon café.,Я беру <b>шоколатин</b> с кофе.,France: pain au chocolat. Débat culinaire!,🥐,quebecismes
une chopine,пинта,f,Achète une <b>chopine</b> de crème.,Купи <b>пинту</b> сливок.,Ancienne mesure. Environ 500 ml.,🥛,quebecismes
un commentariat,комментаторы,m,Le <b>commentariat</b> politique est très actif.,Политический <b>комментариат</b> очень активен.,Ensemble des analystes et commentateurs.,📺,quebecismes
un copossesseur,совладелец,m,Les <b>copossesseurs</b> partagent les frais.,<b>Совладельцы</b> делят расходы.,Terme juridique. Copropriété.,🏠,quebecismes
une copossesseure,совладелица,f,Elle est <b>copossesseure</b> de l'immeuble.,Она <b>совладелица</b> здания.,Féminin de copossesseur.,🏢,quebecismes
une coquerelle,таракан,f,Il y a des <b>coquerelles</b> dans la cuisine !,На кухне <b>тараканы</b>!,Familier. France: cafard / blatte.,🪳,quebecismes
des cretons,кретоны (паштет),m,Je mange des <b>cretons</b> sur du pain grillé.,Я ем <b>кретоны</b> на тосте.,Charcuterie traditionnelle québécoise. Petit-déjeuner.,🥓,quebecismes
une croustille,чипсы,f,J'ai acheté un sac de <b>croustilles</b>.,Я купил пакет <b>чипсов</b>.,Terme OQLF. France: chips. Très courant!,🍟,quebecismes
divulgâcher,спойлерить,v,Ne <b>divulgâche</b> pas la fin du film !,Не <b>спойлери</b> концовку фильма!,Néologisme OQLF. France: spoiler. Groupe 1 (-er).,🤫,quebecismes
une drave,сплав леса,f,La <b>drave</b> était dangereuse au printemps.,<b>Сплав леса</b> был опасен весной.,Métier historique. Industrie forestière.,🪵,quebecismes
un draveur,сплавщик,m,Mon arrière-grand-père était <b>draveur</b>.,Мой прадед был <b>сплавщиком</b>.,Métier disparu. Folklore québécois. Chanson: Le draveur.,👷,quebecismes
drummondvillois; drummondvilloise,из Драммондвиля,adj,Le festival <b>drummondvillois</b> attire des touristes.,<b>Драммондвильский</b> фестиваль привлекает туристов.,De Drummondville. Centre-du-Québec.,📍,quebecismes
une débenture,облигация,f,La ville a émis des <b>débentures</b> pour le projet.,Город выпустил <b>облигации</b> для проекта.,Finance. Obligation non garantie.,📈,quebecismes
un débosseleur; une débosseleuse,рихтовщик,m,Le <b>débosseleur</b> répare les voitures accidentées.,<b>Рихтовщик</b> ремонтирует аварийные машины.,Carrossier. France: tôlier / carrossier.,🔧,quebecismes
un décrocheur; une décrocheuse,бросивший учёбу,m,Le programme aide les <b>décrocheurs</b> à revenir à l'école.,Программа помогает <b>бросившим учёбу</b> вернуться в школу.,Élève qui abandonne ses études. Enjeu social.,📚,quebecismes
déniaiser,просвещать,v,Ce voyage l'a <b>déniaisé</b>.,Это путешествие его <b>просветило</b>.,Familier. Rendre moins naïf. Groupe 1 (-er).,💡,quebecismes
déparler,нести чушь,v,Il <b>déparle</b> quand il est fatigué.,Он <b>несёт чушь</b> когда устал.,Familier. Parler inconsidérément. Groupe 1 (-er).,🗣️,quebecismes
dépendamment,в зависимости от,adv,<b>Dépendamment</b> de la météo on ira dehors.,<b>В зависимости</b> от погоды мы пойдём на улицу.,France: selon / en fonction de. Courant au Québec.,📊,quebecismes
se désâmer,выбиваться из сил,v,Il se <b>désâme</b> au travail pour nourrir sa famille.,Он <b>выбивается из сил</b> на работе чтобы прокормить семью.,Familier. Se donner beaucoup de mal. Groupe 1 (-er).,😓,quebecismes
dévierger,лишать невинности,v,Ce n'est pas un sujet de conversation poli.,Это не тема для вежливого разговора.,⚠️ Vulgaire. À éviter dans un contexte formel.,⚠️,quebecismes
embourrer,закутывать(ся),v,<b>Embourre</b>-toi bien il fait froid dehors !,<b>Закутайся</b> хорошенько — на улице холодно!,Familier. France: emmitoufl(er). Groupe 1 (-er).,🧥,quebecismes
ennuyant; ennuyante,скучный,adj,Ce film est vraiment <b>ennuyant</b>.,Этот фильм реально <b>скучный</b>.,France: ennuyeux. Forme courante au Québec.,😴,quebecismes
estrien; estrienne,из Эстри,adj,Les paysages <b>estriens</b> sont magnifiques en automne.,<b>Эстрийские</b> пейзажи великолепны осенью.,De l'Estrie. Région des Cantons-de-l'Est.,🍂,quebecismes
eustachois; eustachoise,из Сент-Эсташа,adj,La communauté <b>eustachoise</b> est accueillante.,<b>Сент-эсташская</b> община гостеприимная.,De Saint-Eustache. Banlieue de Montréal.,📍,quebecismes
la falle,быть голодным,f,J'ai la <b>falle</b> basse après cette randonnée.,Я <b>страшно голоден</b> после этой прогулки.,Expression: avoir la falle basse = avoir très faim.,🍽️,quebecismes
fidéen; fidéenne,из Сент-Фуа,adj,Le quartier <b>fidéen</b> est résidentiel.,<b>Сент-фуаский</b> район жилой.,De Sainte-Foy. Quartier de Québec.,📍,quebecismes
une flanelette,фланель,f,Les draps en <b>flanelette</b> sont chauds en hiver.,Простыни из <b>фланели</b> тёплые зимой.,France: finette / flanelle.,🛏️,quebecismes
au forçail,в крайнем случае,loc,<b>Au forçail</b> on pourra dormir dans la voiture.,<b>В крайнем случае</b> можно переночевать в машине.,Expression. France: à la rigueur.,🤷,quebecismes
francophoniser,франкофонизировать,v,L'entreprise veut <b>francophoniser</b> ses services.,Компания хочет <b>франкофонизировать</b> свои услуги.,Politique linguistique québécoise. Groupe 1 (-er).,🇫🇷,quebecismes
un frasil,шуга (ледяная каша),m,Le <b>frasil</b> bloque les prises d'eau.,<b>Шуга</b> блокирует водозаборники.,Pellicule de glace sur l'eau. Hiver québécois.,🧊,quebecismes
un frolic,праздник (акадийск.),m,On a dansé toute la nuit au <b>frolic</b>.,Мы танцевали всю ночь на <b>празднике</b>.,Acadien. Grande fête populaire avec musique.,🎉,quebecismes
des fruitages,дикие ягоды,m,On cueille des <b>fruitages</b> dans les bois.,Мы собираем <b>дикие ягоды</b> в лесу.,Petits fruits sauvages. Pluriel.,🫐,quebecismes
un frédéric,белогорлый овсянка,m,Le chant du <b>frédéric</b> annonce le printemps.,Пение <b>овсянки</b> возвещает весну.,Oiseau. Bruant à gorge blanche.,🐦,quebecismes
un félix,Феликс (муз. премия),m,Elle a gagné un <b>Félix</b> pour son album.,Она получила <b>Феликс</b> за свой альбом.,Prix de l'industrie musicale québécoise. ADISQ.,🏆,quebecismes
courir la galipote,искать приключений,loc,Il <b>court la galipote</b> tous les samedis soirs.,Он <b>ищет приключений</b> каждую субботу вечером.,Familier. Chercher des aventures amoureuses.,💃,quebecismes
gaspésien; gaspésienne,гаспезийский,adj,La cuisine <b>gaspésienne</b> est réputée pour ses fruits de mer.,<b>Гаспезийская</b> кухня славится морепродуктами.,De la Gaspésie. Région maritime de l'Est.,🦞,quebecismes
gatinois; gatinoise,из Гатино,adj,Le marché <b>gatinois</b> est animé le samedi.,<b>Гатинуаский</b> рынок оживлён по субботам.,De Gatineau. Ville face à Ottawa.,📍,quebecismes
un gazou,казу,m,Il joue du <b>gazou</b> dans le groupe folklorique.,Он играет на <b>казу</b> в фольклорной группе.,Instrument de musique simple. Folklore.,🎵,quebecismes
giguer,танцевать джигу,v,Les danseurs <b>giguent</b> au son du violon.,Танцоры <b>танцуют джигу</b> под звуки скрипки.,Danse traditionnelle québécoise. Groupe 1 (-er).,💃,quebecismes
godé; godée,годе (о юбке),adj,Elle porte une jupe <b>godée</b>.,Она носит юбку <b>годе</b>.,Vêtement à godets. Mode.,👗,quebecismes
une gougoune,вьетнамки,f,Mets tes <b>gougounes</b> pour aller à la plage.,Надень <b>вьетнамки</b> чтобы пойти на пляж.,Très courant! France: tongs. Été québécois.,🩴,quebecismes
une gourgane,бобы,f,La soupe aux <b>gourganes</b> est un plat traditionnel.,Суп с <b>бобами</b> — традиционное блюдо.,Fève des marais. Région du Saguenay.,🫘,quebecismes
grafigner,царапать,v,Le chat m'a <b>grafigné</b> la main.,Кот <b>поцарапал</b> мне руку.,Familier. France: égratigner / griffer. Groupe 1 (-er).,🐱,quebecismes
granbyen; granbyenne,из Гранби,adj,Le zoo <b>granbyen</b> est populaire.,<b>Гранбийский</b> зоопарк популярен.,De Granby. Ville de l'Estrie.,📍,quebecismes
une gribiche,стерва,f,Cette <b>gribiche</b> critique tout le monde.,Эта <b>стерва</b> критикует всех.,Familier. Femme acariâtre. Péjoratif.,😠,quebecismes
une grilladerie,гриль-бар,f,On va manger à la <b>grilladerie</b> du coin.,Мы пойдём есть в <b>гриль-бар</b> на углу.,France: rôtisserie / grill. Restauration.,🍖,quebecismes
un guenillou,оборванец,m,Ce <b>guenillou</b> a besoin de nouveaux vêtements.,Этому <b>оборванцу</b> нужна новая одежда.,Familier. Personne mal habillée.,👕,quebecismes
un habit de neige,зимний комбинезон,m,Mets ton <b>habit de neige</b> avant de sortir.,Надень <b>зимний комбинезон</b> перед выходом.,Vêtement d'hiver pour enfants. Essentiel au Québec!,🧥,quebecismes
un hameçonnage,фишинг,m,Attention aux courriels d'<b>hameçonnage</b> !,Осторожно с <b>фишинговыми</b> письмами!,Terme OQLF. France: phishing. Cybersécurité.,🎣,quebecismes
un hivernement,зимовка,m,L'<b>hivernement</b> des bateaux coûte cher.,<b>Зимовка</b> лодок стоит дорого.,Action d'hiverner. France: hivernage.,❄️,quebecismes
un huard,гагара,m,Le <b>huard</b> est l'oiseau sur la pièce de un dollar.,<b>Гагара</b> — птица на монете в один доллар.,Aussi: le dollar canadien. Plongeon arctique.,🪙,quebecismes
hullois; hulloise,из Халла,adj,Le patrimoine <b>hullois</b> est riche.,<b>Халльское</b> наследие богато.,De Hull. Ancien nom de Gatineau.,📍,quebecismes
un humidex,индекс влажности,m,L'<b>humidex</b> atteint 40 aujourd'hui.,<b>Индекс влажности</b> достигает 40 сегодня.,Indice météo canadien. Chaleur ressentie.,🌡️,quebecismes
une hydrangée,гортензия,f,Les <b>hydrangées</b> fleurissent en été.,<b>Гортензии</b> цветут летом.,Aussi: hydrangéa. Plante décorative.,💐,quebecismes
icitte,здесь,adv,Viens <b>icitte</b> tout de suite !,Иди <b>сюда</b> сейчас же!,Familier. Prononciation populaire de ici. Très québécois!,📍,quebecismes
un idéateur; une idéatrice,генератор идей,m,L'<b>idéateur</b> a proposé un nouveau concept.,<b>Генератор идей</b> предложил новую концепцию.,Créatif. France: concepteur / créateur.,💡,quebecismes
innu; innue,инну (народ),adj,La culture <b>innue</b> est millénaire.,Культура <b>инну</b> тысячелетняя.,Peuple autochtone. Côte-Nord et Labrador.,🪶,quebecismes
intermodal; intermodale,интермодальный,adj,Le transport <b>intermodal</b> combine train et camion.,<b>Интермодальный</b> транспорт сочетает поезд и грузовик.,Plusieurs modes de transport. Logistique.,🚛,quebecismes
un ivressomètre,алкотестер,m,La police utilise un <b>ivressomètre</b>.,Полиция использует <b>алкотестер</b>.,France: éthylotest. Sécurité routière.,🚔,quebecismes
jaser,болтать,v,On a <b>jasé</b> pendant des heures.,Мы <b>болтали</b> часами.,Très courant! France: bavarder / discuter. Groupe 1 (-er).,💬,quebecismes
jeannois; jeannoise,из Лак-Сен-Жана,adj,Les bleuets <b>jeannois</b> sont les meilleurs.,<b>Лак-сен-жанская</b> черника лучшая.,Du Lac-Saint-Jean. Région des bleuets.,🫐,quebecismes
un jello,желе,m,Les enfants adorent le <b>Jello</b> aux fraises.,Дети обожают клубничное <b>желе</b>.,Marque déposée devenue nom commun. Dessert.,🍓,quebecismes
johannais; johannaise,из Сен-Жан-сюр-Ришельё,adj,Le festival <b>johannais</b> attire les touristes.,<b>Сен-жанский</b> фестиваль привлекает туристов.,De Saint-Jean-sur-Richelieu. Montérégie.,📍,quebecismes
joliettain; joliettaine,из Жольетта,adj,L'amphithéâtre <b>joliettain</b> est célèbre.,<b>Жольеттский</b> амфитеатр знаменит.,De Joliette. Lanaudière.,📍,quebecismes
jérômien; jérômienne,из Сен-Жерома,adj,La communauté <b>jérômienne</b> est dynamique.,<b>Сен-жеромская</b> община динамичная.,De Saint-Jérôme. Laurentides.,📍,quebecismes
lanaudois; lanaudoise,из Ланодьера,adj,Les forêts <b>lanaudoises</b> sont magnifiques.,<b>Ланодьерские</b> леса великолепны.,De Lanaudière. Région au nord de Montréal.,🌲,quebecismes
longueuillois; longueuilloise,из Лонгёя,adj,Le métro <b>longueuillois</b> relie la Rive-Sud à Montréal.,<b>Лонгёйское</b> метро соединяет Южный берег с Монреалем.,De Longueuil. Rive-Sud de Montréal.,📍,quebecismes
un léotard,трико,m,Les danseuses portent des <b>léotards</b> noirs.,Танцовщицы носят чёрные <b>трико</b>.,Maillot de danse. Du nom de Jules Léotard.,🩱,quebecismes
lévisien; lévisienne,из Леви,adj,Le traversier <b>lévisien</b> offre une vue magnifique.,<b>Левисский</b> паром предлагает великолепный вид.,De Lévis. Face à Québec.,⛴️,quebecismes
madelinot; madelinote,с островов Мадлен,adj,L'accent <b>madelinot</b> est unique au Québec.,<b>Мадленотский</b> акцент уникален в Квебеке.,Des Îles-de-la-Madeleine. Golfe du Saint-Laurent.,🏝️,quebecismes
un magasineur; une magasineuse,покупатель,m,Les <b>magasineurs</b> remplissent le centre commercial.,<b>Покупатели</b> заполняют торговый центр.,De magasiner. Personne qui fait du shopping.,🛒,quebecismes
magogois; magogoise,из Магога,adj,Le lac <b>magogois</b> attire les touristes.,<b>Магогское</b> озеро привлекает туристов.,De Magog. Estrie.,📍,quebecismes
malendurant; malendurante,нетерпеливый,adj,Il est <b>malendurant</b> quand il a faim.,Он <b>нетерпеливый</b> когда голоден.,Familier. France: impatient.,⏰,quebecismes
malengueulé; malengueulée,грубиян,adj,Ce <b>malengueulé</b> insulte tout le monde.,Этот <b>грубиян</b> оскорбляет всех.,Familier. France: malappris / mal élevé.,😠,quebecismes
malin; maline,злой; вспыльчивый,adj,Ne le provoque pas il est <b>malin</b> aujourd'hui.,Не провоцируй его — он сегодня <b>злой</b>.,Au Québec: méchant. En France: intelligent/rusé. Faux ami!,😤,quebecismes
malpropre,грязный; непристойный,adj,Cette blague est <b>malpropre</b>.,Эта шутка <b>непристойная</b>.,Aussi: sale (sens physique). Double sens.,🚿,quebecismes
une malpèque,устрицы Малпек,f,Les <b>Malpèques</b> viennent de l'Île-du-Prince-Édouard.,<b>Устрицы Малпек</b> родом с Острова Принца Эдуарда.,Variété d'huîtres canadiennes. Gastronomie.,🦪,quebecismes
une marchette,ходунки,f,Le bébé apprend à marcher avec sa <b>marchette</b>.,Малыш учится ходить с <b>ходунками</b>.,Pour bébés ou personnes âgées. France: déambulateur.,👶,quebecismes
un maskinongé,маскинонг (щука),m,Il a pêché un <b>maskinongé</b> de dix kilos.,Он поймал <b>маскинонга</b> на десять кило.,Grand brochet nord-américain. Pêche sportive.,🐟,quebecismes
maskoutain; maskoutaine,из Сент-Гиацинта,adj,Le terroir <b>maskoutain</b> est agricole.,<b>Сент-гиацинтский</b> край сельскохозяйственный.,De Saint-Hyacinthe. Montérégie.,📍,quebecismes
un massothérapeute; une massothérapeute,массажист,m,Le <b>massothérapeute</b> soulage mes tensions.,<b>Массажист</b> снимает моё напряжение.,Professionnel du massage. Santé.,💆,quebecismes
une massothérapie,массажная терапия,f,La <b>massothérapie</b> aide à la relaxation.,<b>Массажная терапия</b> помогает расслабиться.,Traitements par massage. Bien-être.,🧘,quebecismes
une menterie,враньё,f,Arrête tes <b>menteries</b> je ne te crois plus !,Хватит <b>врать</b> — я тебе больше не верю!,Familier. France: mensonge.,🤥,quebecismes
un mentor; une mentore,наставник,m,Mon <b>mentor</b> m'a aidé dans ma carrière.,Мой <b>наставник</b> помог мне в карьере.,Personne expérimentée qui guide. Professionnel.,👨‍🏫,quebecismes
un mentorat,наставничество,m,Le programme de <b>mentorat</b> est efficace.,Программа <b>наставничества</b> эффективна.,Aide apportée par un mentor. Professionnel.,🤝,quebecismes
un mentoré; une mentorée,подопечный,m,La <b>mentorée</b> a beaucoup appris cette année.,<b>Подопечная</b> многому научилась в этом году.,Personne guidée par un mentor.,📚,quebecismes
le mitan,середина,m,Au <b>mitan</b> de la nuit il s'est réveillé.,<b>Посреди</b> ночи он проснулся.,Familier. France: milieu / centre.,⭕,quebecismes
montagnais; montagnaise,монтанье (народ),adj,La langue <b>montagnaise</b> est encore parlée.,На языке <b>монтанье</b> ещё говорят.,Peuple autochtone. Aussi appelés Innus.,🪶,quebecismes
montréalais; montréalaise,монреальский,adj,La vie <b>montréalaise</b> est dynamique.,<b>Монреальская</b> жизнь динамична.,De Montréal. Métropole du Québec.,🏙️,quebecismes
montérégien; montérégienne,из Монтережи,adj,Les vergers <b>montérégiens</b> produisent des pommes.,<b>Монтережийские</b> сады производят яблоки.,De la Montérégie. Région agricole au sud de Montréal.,🍎,quebecismes
un motivateur; une motivatrice,мотиватор,m,Le <b>motivateur</b> a inspiré toute l'équipe.,<b>Мотиватор</b> вдохновил всю команду.,Conférencier motivant. France: coach.,🎤,quebecismes
une motoneige,снегоход,f,On fait de la <b>motoneige</b> dans les Laurentides.,Мы катаемся на <b>снегоходе</b> в Лорантидах.,Véhicule d'hiver emblématique. Bombardier!,🏔️,quebecismes
mousser,продвигать,v,Il <b>mousse</b> son projet auprès des investisseurs.,Он <b>продвигает</b> свой проект среди инвесторов.,Familier. France: promouvoir. Groupe 1 (-er).,📈,quebecismes
mêlant; mêlante,запутанный,adj,Ces instructions sont <b>mêlantes</b>.,Эти инструкции <b>запутанные</b>.,Familier. France: confus / embrouillant.,🤷,quebecismes
un nananne,конфетка,m,Tu veux un <b>nananne</b> ?,Хочешь <b>конфетку</b>?,Variante de nanane. Langage enfantin.,🍭,quebecismes
un narcomane; une narcomane,наркоман,m,Le centre aide les <b>narcomanes</b> à se réhabiliter.,Центр помогает <b>наркоманам</b> реабилитироваться.,France: toxicomane. Terme médical.,💊,quebecismes
naskapi; naskapie,наскапи (народ),adj,Le territoire <b>naskapi</b> est au nord du Québec.,Территория <b>наскапи</b> на севере Квебека.,Peuple autochtone. Schefferville.,🪶,quebecismes
nolisé; nolisée,чартерный,adj,On prend un vol <b>nolisé</b> pour le Sud.,Мы берём <b>чартерный</b> рейс на юг.,France: affrété. Avion / autobus loué.,✈️,quebecismes
nono; nonote,дурачок,adj,Arrête de faire le <b>nono</b> !,Хватит <b>дурачиться</b>!,Familier. France: idiot / niais. Affectueux ou péjoratif.,🤪,quebecismes
un nouc,узел (акадийск.),m,Fais un <b>nouc</b> dans la corde.,Завяжи <b>узел</b> на верёвке.,Acadien. Aussi: noucle. France: nœud.,🪢,quebecismes
nounoune,глуповатый,adj,T'es ben <b>nounoune</b> des fois !,Ты иногда такая <b>глупышка</b>!,Familier. Affectueux ou péjoratif selon le contexte.,😅,quebecismes
nunavimiuq,из Нунавика,adj,La culture <b>nunavimiuq</b> est inuite.,Культура <b>Нунавика</b> инуитская.,Du Nunavik. Grand Nord québécois.,❄️,quebecismes
obstineur; obstineuse,упрямец,adj,Il est <b>obstineur</b> il ne change jamais d'avis.,Он <b>упрямец</b> — никогда не меняет мнение.,Familier. Qui s'obstine. France: têtu.,🙅,quebecismes
une orthopédagogie,коррекционная педагогика,f,Elle étudie l'<b>orthopédagogie</b> à l'université.,Она изучает <b>коррекционную педагогику</b> в университете.,Méthodes pour élèves en difficulté. Éducation spécialisée.,📚,quebecismes
ouache,фу!,interj,<b>Ouache</b> c'est dégoûtant !,"<b>Фу</b>, это отвратительно!",Exprime le dégoût. Onomatopée. Très courant!,🤢,quebecismes
une ouananiche,пресноводный лосось,f,On a pêché une <b>ouananiche</b> au Lac-Saint-Jean.,Мы поймали <b>пресноводного лосося</b> на Лак-Сен-Жане.,Saumon d'eau douce. D'origine amérindienne.,🐟,quebecismes
ouch,ой!,interj,<b>Ouch</b> je me suis cogné le pied !,"<b>Ой</b>, я ударился ногой!",Exprime la douleur. De l'anglais. Courant.,😣,quebecismes
un paravoile,парасейлинг,m,On a fait du <b>paravoile</b> au-dessus du lac.,Мы занимались <b>парасейлингом</b> над озером.,France: parachute ascensionnel. Sport nautique.,🪂,quebecismes
un parcomètre,паркомат,m,Mets des sous dans le <b>parcomètre</b>.,Положи монеты в <b>паркомат</b>.,France: parcmètre / horodateur. Stationnement.,🅿️,quebecismes
une parlure,говор,f,La <b>parlure</b> québécoise est colorée.,Квебекский <b>говор</b> колоритный.,Façon de parler. Linguistique.,🗣️,quebecismes
une patarafe,оскорбление,f,Il lui a lancé des <b>patarafes</b>.,Он бросал ей <b>оскорбления</b>.,Familier. Affront / injure. Vieilli.,😠,quebecismes
une peignure,причёска,f,Elle a changé de <b>peignure</b>.,Она сменила <b>причёску</b>.,Familier. France: coiffure.,💇,quebecismes
un pepperoni,пепперони,m,Une pizza au <b>pepperoni</b> s'il vous plaît.,Пиццу с <b>пепперони</b> пожалуйста.,Saucisson épicé. Anglicisme.,🍕,quebecismes
pigouiller,ворошить угли (акадийск.),v,<b>Pigouille</b> le feu pour l'attiser.,<b>Поворошь</b> огонь чтобы разжечь.,Acadien. France: tisonner. Groupe 1 (-er).,🔥,quebecismes
un piqueteur; une piqueteuse,пикетчик,m,Les <b>piqueteurs</b> manifestent devant l'usine.,<b>Пикетчики</b> протестуют у завода.,Grève. Piquet de grève.,📢,quebecismes
un pitonneux; une pitonneuse,любитель переключать каналы,m,Mon père est un vrai <b>pitonneux</b> devant la télé.,Мой папа настоящий <b>любитель щёлкать каналы</b> у телевизора.,De pitonner. Familier. Zappeur.,📺,quebecismes
un placotage,болтовня,m,Assez de <b>placotage</b> au travail !,Хватит <b>болтать</b> на работе!,Familier. Action de placoter. Bavardage.,💬,quebecismes
plaignard; plaignarde,нытик,adj,Arrête d'être <b>plaignard</b> !,Хватит быть <b>нытиком</b>!,Familier. France: geignard / râleur.,😢,quebecismes
un planchodrome,скейт-парк,m,Les jeunes se retrouvent au <b>planchodrome</b>.,Молодёжь собирается в <b>скейт-парке</b>.,France: skatepark. Sports urbains.,🛹,quebecismes
une plaquebière,морошка,f,La confiture de <b>plaquebières</b> est délicieuse.,Варенье из <b>морошки</b> вкусное.,Synonyme de chicouté. Baie nordique.,🍊,quebecismes
une podorythmie,степ,f,Elle fait de la <b>podorythmie</b> dans un groupe folklorique.,Она занимается <b>степом</b> в фольклорной группе.,Art de produire un rythme avec les pieds. Danse.,💃,quebecismes
poigner,хватать,v,<b>Poigne</b> le ballon !,<b>Хватай</b> мяч!,Variante de pogner. Familier. Groupe 1 (-er).,✊,quebecismes
un pommetier,декоративная яблоня,m,Les <b>pommetiers</b> fleurissent en mai.,<b>Декоративные яблони</b> цветут в мае.,Aussi: pommettier. Arbre ornemental.,🌸,quebecismes
un pommettier,декоративная яблоня,m,Le <b>pommettier</b> a de petits fruits.,У <b>декоративной яблони</b> маленькие плоды.,Variante de pommetier. Arbre.,🍎,quebecismes
une possesseure,владелица,f,La <b>possesseure</b> du terrain a accepté.,<b>Владелица</b> участка согласилась.,Féminin de possesseur. Juridique.,🏠,quebecismes
poucer,ловить попутку,v,On a <b>poucé</b> jusqu'à Québec.,Мы <b>ехали автостопом</b> до Квебека.,Familier. Faire de l'autostop. Groupe 1 (-er).,👍,quebecismes
un pouceur; une pouceuse,автостопщик,m,Le <b>pouceur</b> attend au bord de la route.,<b>Автостопщик</b> ждёт у дороги.,France: auto-stoppeur. De poucer.,🚗,quebecismes
un pourriel,спам,m,Ma boîte est pleine de <b>pourriels</b>.,Мой ящик полон <b>спама</b>.,Terme OQLF. Courrier poubelle + courriel. Très courant!,📧,quebecismes
