French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
une réserve,запас; заповедник,J'ai fait des <b>réserves</b>.,Я сделал <b>запасы</b>.,📦,f
un meuble,мебель,J'ai acheté de nouveaux <b>meubles</b>.,Я купил новую <b>мебель</b>.,🪑,m
un navire,корабль,Le <b>navire</b> a quitté le port.,<b>Корабль</b> покинул порт.,🚢,m
un gaz,газ,Il y a une odeur de <b>gaz</b>.,Пахнет <b>газом</b>.,💨,m
conseiller,советовать,Je te <b>conseille</b> de rester.,Я тебе <b>советую</b> остаться.,💬,v
"mystérieux, mystérieuse",таинственный,C'est un homme <b>mystérieux</b>.,Это <b>таинственный</b> человек.,🔮,adj
flotter,плавать (на поверхности),Le bateau <b>flotte</b>.,Лодка <b>плывёт</b>.,🚤,v
ferme,твёрдый; непоколебимый,Il a une voix <b>ferme</b>.,У него <b>твёрдый</b> голос.,💪,adj
une plume,перо,L'oiseau a perdu une <b>plume</b>.,Птица потеряла <b>перо</b>.,🪶,f
démarrer,заводить; стартовать,La voiture ne veut pas <b>démarrer</b>.,Машина не хочет <b>заводиться</b>.,🚗,v
grimper,взбираться,Je <b>grimpe</b> à l'arbre.,Я <b>забираюсь</b> на дерево.,🧗,v
"juif, juive",еврейский,C'est une fête <b>juive</b>.,Это <b>еврейский</b> праздник.,✡️,adj
punir,наказывать,On l'a <b>puni</b>.,Его <b>наказали</b>.,⚖️,v
décrire,описывать,<b>Décris</b>-moi la scène.,<b>Опиши</b> мне сцену.,📝,v
rejeter,отвергать,Ils ont <b>rejeté</b> ma demande.,Они <b>отклонили</b> мою заявку.,🚫,v
un banc,скамейка,Assieds-toi sur le <b>banc</b>.,Садись на <b>скамейку</b>.,🪑,m
"furieux, furieuse",разъярённый,Il est <b>furieux</b>.,Он <b>в ярости</b>.,😡,adj
un signal,сигнал,Attends le <b>signal</b>.,Жди <b>сигнала</b>.,📡,m
"évident, évidente",очевидный,C'est <b>évident</b>.,Это <b>очевидно</b>.,✅,adj
"malin, maligne",хитрый; сметливый,Tu es <b>malin</b> !,Ты <b>хитрый</b>!,🦊,adj
un masque,маска,Mets ton <b>masque</b>.,Надень <b>маску</b>.,😷,m
mai,май,"En <b>mai</b>, fais ce qu'il te plaît.",В <b>мае</b> делай что хочешь.,🌸,m
in,модный; в тренде,C'est très <b>in</b> en ce moment.,Это сейчас очень <b>модно</b>.,✨,adj
un canon,пушка; красавец (разг.),Le <b>canon</b> a tiré.,<b>Пушка</b> выстрелила.,💥,m
"innocent, innocente",невинный,Il est <b>innocent</b>.,Он <b>невиновен</b>.,😇,adj
un cauchemar,кошмар,J'ai fait un <b>cauchemar</b>.,Мне приснился <b>кошмар</b>.,😱,m
un sous-titrage,субтитры,Le <b>sous-titrage</b> aide à comprendre.,<b>Субтитры</b> помогают понять.,📝,m
un vélo,велосипед,Je fais du <b>vélo</b>.,Я катаюсь на <b>велосипеде</b>.,🚲,m
maigre,худой,Il est très <b>maigre</b>.,Он очень <b>худой</b>.,🩻,adj
désigner,обозначать; назначать,Il m'a <b>désigné</b> comme chef.,Он <b>назначил</b> меня главным.,👉,v
une allure,вид; скорость,Il a une drôle d'<b>allure</b>.,У него странный <b>вид</b>.,🚶,f
un échange,обмен,C'est un <b>échange</b> équitable.,Это справедливый <b>обмен</b>.,🔄,m
régner,царить,Le silence <b>règne</b>.,Царит <b>тишина</b>.,👑,v
un connard,козёл (груб.),Quel <b>connard</b> !,Какой <b>козёл</b>!,😠,m
une épreuve,испытание,C'est une dure <b>épreuve</b>.,Это тяжёлое <b>испытание</b>.,💪,f
un chocolat,шоколад,J'adore le <b>chocolat</b>.,Я обожаю <b>шоколад</b>.,🍫,m
brave,храбрый; славный,C'est un <b>brave</b> homme.,Это <b>славный</b> человек.,🦸,adj
une clef,ключ,J'ai perdu mes <b>clefs</b>.,Я потерял <b>ключи</b>.,🔑,f
éveiller,пробуждать,Le bruit m'a <b>éveillé</b>.,Шум меня <b>разбудил</b>.,⏰,v
une promenade,прогулка,Faisons une <b>promenade</b>.,Давай <b>прогуляемся</b>.,🚶,f
"fameux, fameuse",знаменитый,C'est un <b>fameux</b> restaurant.,Это <b>знаменитый</b> ресторан.,⭐,adj
célèbre,знаменитый,C'est un chanteur <b>célèbre</b>.,Это <b>знаменитый</b> певец.,🌟,adj
un week-end,выходные,Bon <b>week-end</b> !,Хороших <b>выходных</b>!,📅,m
britannique,британский,C'est un accent <b>britannique</b>.,Это <b>британский</b> акцент.,🇬🇧,adj
disputer,спорить; ругаться,Ils se <b>disputent</b> souvent.,Они часто <b>ссорятся</b>.,😤,v
venger,мстить,Je vais me <b>venger</b>.,Я <b>отомщу</b>.,😠,v
baigner,купать,Je <b>baigne</b> le bébé.,Я <b>купаю</b> ребёнка.,🛁,v
bloquer,блокировать,La route est <b>bloquée</b>.,Дорога <b>перекрыта</b>.,🚧,v
un chant,пение; песнь,J'entends un <b>chant</b> d'oiseau.,Я слышу <b>пение</b> птицы.,🎶,m
une entreprise,предприятие,Il travaille dans une grande <b>entreprise</b>.,Он работает в большой <b>компании</b>.,🏢,f
inscrire,записывать; регистрировать,<b>Inscris</b>-toi au cours.,<b>Запишись</b> на курс.,📝,v
vague,расплывчатый,C'est une réponse <b>vague</b>.,Это <b>расплывчатый</b> ответ.,🌫️,adj
un sucre,сахар,Tu veux du <b>sucre</b> ?,Хочешь <b>сахар</b>?,🍬,m
une race,раса; порода,C'est quelle <b>race</b> de chien ?,Какой <b>породы</b> собака?,🐕,f
réclamer,требовать,Il <b>réclame</b> justice.,Он <b>требует</b> справедливости.,📢,v
une manche,рукав; раунд,Relève tes <b>manches</b>.,Засучи <b>рукава</b>.,👕,f
une allée,аллея,Une <b>allée</b> bordée d'arbres.,"<b>Аллея</b>, окаймлённая деревьями.",🌳,f
un gros,толстяк,Le <b>gros</b> mange beaucoup.,<b>Толстяк</b> много ест.,🍔,m
une science,наука,La <b>science</b> progresse.,<b>Наука</b> развивается.,🔬,f
une prise,захват; розетка,Où est la <b>prise</b> électrique ?,Где <b>розетка</b>?,🔌,f
une période,период,C'est une <b>période</b> difficile.,Это трудный <b>период</b>.,📅,f
un plateau,плато; поднос,Pose le café sur le <b>plateau</b>.,Поставь кофе на <b>поднос</b>.,🍽️,m
soupirer,вздыхать,Elle <b>soupire</b> de tristesse.,Она <b>вздыхает</b> от грусти.,😔,v
une fièvre,жар; лихорадка,J'ai de la <b>fièvre</b>.,У меня <b>температура</b>.,🤒,f
une créature,существо; тварь,C'est une étrange <b>créature</b>.,Это странное <b>существо</b>.,👽,f
un piège,ловушка,C'est un <b>piège</b> !,Это <b>ловушка</b>!,🪤,m
un lundi,понедельник,On se voit <b>lundi</b>.,Увидимся в <b>понедельник</b>.,📅,m
un gardien,сторож; охранник,Le <b>gardien</b> surveille l'entrée.,<b>Охранник</b> следит за входом.,💂,m
un horizon,горизонт,Le soleil se couche à l'<b>horizon</b>.,Солнце садится за <b>горизонт</b>.,🌅,m
une patience,терпение,Aie de la <b>patience</b>.,Имей <b>терпение</b>.,🧘,f
un lac,озеро,On nage dans le <b>lac</b>.,Мы плаваем в <b>озере</b>.,🏞️,m
noyer,топить; тонуть,Il a failli se <b>noyer</b>.,Он чуть не <b>утонул</b>.,🌊,v
une silhouette,силуэт,J'ai vu une <b>silhouette</b> dans la nuit.,Я увидел <b>силуэт</b> в ночи.,👤,f
un égard,уважение; внимание,"À cet <b>égard</b>, tu as raison.",В этом <b>отношении</b> ты прав.,🤝,m
"cruel, cruelle",жестокий,C'est un homme <b>cruel</b>.,Это <b>жестокий</b> человек.,😈,adj
une essence,бензин; сущность,Je dois faire le plein d'<b>essence</b>.,Мне надо заправиться <b>бензином</b>.,⛽,f
un flingue,пушка (разг.),Il a sorti son <b>flingue</b>.,Он вытащил свой <b>ствол</b>.,🔫,m
un fleuve,река (большая),Le Saint-Laurent est un grand <b>fleuve</b>.,Святой Лаврентий — большая <b>река</b>.,🏞️,m
sensible,чувствительный,Elle est très <b>sensible</b>.,Она очень <b>чувствительная</b>.,❤️,adj
une chute,падение,Attention à la <b>chute</b> !,"Осторожно, <b>падение</b>!",⬇️,f
figurer,изображать; фигурировать,Son nom <b>figure</b> sur la liste.,Его имя <b>значится</b> в списке.,📋,v
priver,лишать,On l'a <b>privé</b> de liberté.,Его <b>лишили</b> свободы.,🚫,v
une empreinte,отпечаток; след,Les <b>empreintes</b> digitales.,<b>Отпечатки</b> пальцев.,👆,f
un champagne,шампанское,On ouvre le <b>champagne</b> !,Открываем <b>шампанское</b>!,🥂,m
un domaine,область; поместье,C'est son <b>domaine</b> d'expertise.,Это его <b>область</b> знаний.,🏡,m
un esclave,раб,L'<b>esclave</b> a été libéré.,<b>Раба</b> освободили.,⛓️,m
"total, totale",полный; общий,C'est un échec <b>total</b>.,Это <b>полный</b> провал.,📊,adj
violer,нарушать; насиловать,Il a <b>violé</b> la loi.,Он <b>нарушил</b> закон.,⚖️,v
concentrer,концентрировать,<b>Concentre</b>-toi sur ton travail.,<b>Сосредоточься</b> на работе.,🎯,v
confirmer,подтверждать,Je <b>confirme</b> ma réservation.,Я <b>подтверждаю</b> бронирование.,✅,v
emprunter,брать в долг; заимствовать,Je peux t'<b>emprunter</b> ton stylo ?,Могу <b>одолжить</b> твою ручку?,✏️,v
une lecture,чтение,La <b>lecture</b> est ma passion.,<b>Чтение</b> — моя страсть.,📚,f
un bâtiment,здание,C'est un vieux <b>bâtiment</b>.,Это старое <b>здание</b>.,🏢,m
confondre,путать,Ne me <b>confonds</b> pas avec lui.,Не <b>путай</b> меня с ним.,🤷,v
une assurance,страховка; уверенность,Tu as une <b>assurance</b> auto ?,У тебя есть <b>страховка</b> на машину?,🛡️,f
une douche,душ,Je vais prendre une <b>douche</b>.,Я приму <b>душ</b>.,🚿,f
un commandement,заповедь; командование,Les dix <b>commandements</b>.,Десять <b>заповедей</b>.,📜,m
une sueur,пот,J'étais en <b>sueur</b>.,Я был в <b>поту</b>.,💦,f
une fuite,бегство; утечка,Il y a une <b>fuite</b> d'eau.,Есть <b>утечка</b> воды.,💧,f
un paradis,рай,C'est le <b>paradis</b> !,Это <b>рай</b>!,🏝️,m
informer,информировать,Je vais t'<b>informer</b> des résultats.,Я тебя <b>проинформирую</b> о результатах.,📢,v
redresser,выпрямлять,<b>Redresse</b>-toi !,<b>Выпрямись</b>!,🧍,v
conserver,сохранять,<b>Conserve</b> ce document.,<b>Сохрани</b> этот документ.,📁,v
une pression,давление,La <b>pression</b> est trop forte.,<b>Давление</b> слишком сильное.,📈,f
incapable,неспособный,Je suis <b>incapable</b> de mentir.,Я <b>не способен</b> врать.,🚫,adj
un concert,концерт,Le <b>concert</b> commence à vingt heures.,<b>Концерт</b> начинается в восемь.,🎵,m
"saint, sainte",святой,C'est un <b>saint</b> homme.,Это <b>святой</b> человек.,😇,adj
un angle,угол,L'<b>angle</b> est de quatre-vingt-dix degrés.,<b>Угол</b> равен девяносто градусов.,📐,m
contempler,созерцать,J'aime <b>contempler</b> le paysage.,Я люблю <b>созерцать</b> пейзаж.,🌅,v
un auteur,автор,Qui est l'<b>auteur</b> de ce livre ?,Кто <b>автор</b> этой книги?,✍️,m
un ménage,хозяйство; уборка,Je fais le <b>ménage</b>.,Я делаю <b>уборку</b>.,🧹,m
tarder,медлить; опаздывать,Ne <b>tarde</b> pas !,Не <b>медли</b>!,⏰,v
un prof,учитель (разг.),Le <b>prof</b> est sympa.,<b>Учитель</b> классный.,👨‍🏫,m
une plaque,пластина; табличка,La <b>plaque</b> d'immatriculation.,Номерной <b>знак</b>.,🚗,f
"prudent, prudente",осторожный,Sois <b>prudent</b> sur la route.,Будь <b>осторожен</b> на дороге.,⚠️,adj
un inconnu,незнакомец,Un <b>inconnu</b> m'a parlé.,<b>Незнакомец</b> заговорил со мной.,❓,m
un empereur,император,L'<b>empereur</b> de Rome.,<b>Император</b> Рима.,👑,m
mesurer,измерять,<b>Mesure</b> la longueur.,<b>Измерь</b> длину.,📏,v
identifier,идентифицировать,On a <b>identifié</b> le suspect.,Мы <b>опознали</b> подозреваемого.,🔍,v
pointer,указывать; отмечаться,<b>Pointe</b> du doigt.,<b>Укажи</b> пальцем.,👉,v
invisible,невидимый,Il est <b>invisible</b>.,Он <b>невидимый</b>.,👻,adj
un rythme,ритм,Je danse au <b>rythme</b> de la musique.,Я танцую в <b>ритме</b> музыки.,🎵,m
une lutte,борьба,C'est une <b>lutte</b> difficile.,Это тяжёлая <b>борьба</b>.,💪,f
"privé, privée",частный,C'est une propriété <b>privée</b>.,Это <b>частная</b> собственность.,🔒,adj
un chagrin,горе; печаль,Il a du <b>chagrin</b>.,У него <b>горе</b>.,😢,m
un y,буква Y,Le mot s'écrit avec un <b>y</b>.,Слово пишется с <b>y</b>.,🔤,m
détourner,отвлекать; похищать,Ne me <b>détourne</b> pas.,Не <b>отвлекай</b> меня.,🔄,v
une identité,личность,Quelle est ton <b>identité</b> ?,Какова твоя <b>личность</b>?,🪪,f
une résistance,сопротивление,La <b>Résistance</b> française.,Французское <b>Сопротивление</b>.,✊,f
"précieux, précieuse",драгоценный,C'est un objet <b>précieux</b>.,Это <b>драгоценный</b> предмет.,💎,adj
précieux,ценный; драгоценный,C'est un objet <b>précieux</b>.,Это <b>ценный</b> предмет.,💎,adj
une illusion,иллюзия,C'est une <b>illusion</b> d'optique.,Это оптическая <b>иллюзия</b>.,🎭,f
un porc,свинья,Le <b>porc</b> est dans la ferme.,<b>Свинья</b> на ферме.,🐷,m
un ongle,ноготь,Je me suis cassé un <b>ongle</b>.,Я сломал <b>ноготь</b>.,💅,m
méfier,остерегаться,<b>Méfie</b>-toi de lui.,<b>Остерегайся</b> его.,⚠️,v
une boue,грязь,J'ai de la <b>boue</b> sur mes chaussures.,На моих ботинках <b>грязь</b>.,🥾,f
une université,университет,J'étudie à l'<b>université</b>.,Я учусь в <b>университете</b>.,🎓,f
un singe,обезьяна,Le <b>singe</b> grimpe à l'arbre.,<b>Обезьяна</b> лезет на дерево.,🐒,m
satisfaire,удовлетворять,Cette réponse ne me <b>satisfait</b> pas.,Этот ответ меня не <b>удовлетворяет</b>.,😐,v
"italien, italienne",итальянский,C'est un plat <b>italien</b>.,Это <b>итальянское</b> блюдо.,🇮🇹,adj
un nerf,нерв,Tu me tapes sur les <b>nerfs</b>.,Ты мне действуешь на <b>нервы</b>.,😤,m
un mets,блюдо (кулинар.),C'est un <b>mets</b> délicieux.,Это вкусное <b>блюдо</b>.,🍽️,m
un emploi,работа; занятость,Je cherche un <b>emploi</b>.,Я ищу <b>работу</b>.,💼,m
toutes,все (ж.р.),<b>Toutes</b> les filles sont là.,<b>Все</b> девушки здесь.,👩‍👩‍👧‍👧,adj
renverser,переворачивать; опрокидывать,J'ai <b>renversé</b> mon café.,Я <b>опрокинул</b> кофе.,☕,v
employer,использовать; нанимать,Il <b>emploie</b> dix personnes.,Он <b>нанимает</b> десять человек.,👥,v
un curé,священник (католич.),Le <b>curé</b> de la paroisse.,<b>Священник</b> прихода.,⛪,m
une curiosité,любопытство,La <b>curiosité</b> est un défaut.,<b>Любопытство</b> — это недостаток.,🧐,f
une misère,нищета; несчастье,Il vit dans la <b>misère</b>.,Он живёт в <b>нищете</b>.,😢,f
vêtir,одевать,<b>Vêts</b>-toi chaudement.,<b>Оденься</b> тепло.,👗,v
solide,прочный; крепкий,C'est un matériau <b>solide</b>.,Это <b>прочный</b> материал.,💪,adj
exécuter,исполнять; казнить,<b>Exécute</b> cet ordre.,<b>Выполни</b> этот приказ.,✅,v
un médicament,лекарство,Prends ce <b>médicament</b>.,Прими это <b>лекарство</b>.,💊,m
une roue,колесо,La <b>roue</b> est crevée.,<b>Колесо</b> спущено.,🛞,f
retomber,падать снова,Il est <b>retombé</b> malade.,Он снова <b>заболел</b>.,⬇️,v
un mille,миля,"Un <b>mille</b> fait 1,6 km.","<b>Миля</b> — это 1,6 км.",📏,m
Mlle,мадемуазель (сокр.),<b>Mlle</b> Dupont est arrivée.,<b>Мадемуазель</b> Дюпон приехала.,👩,f
un tribunal,суд (здание),Il passe au <b>tribunal</b>.,Он предстанет перед <b>судом</b>.,⚖️,m
une apparence,внешность; видимость,Ne te fie pas aux <b>apparences</b>.,Не верь <b>внешности</b>.,👀,f
répandre,распространять; проливать,La nouvelle s'est <b>répandue</b>.,Новость <b>распространилась</b>.,📢,v
cogner,стучать; ударять,Il a <b>cogné</b> à la porte.,Он <b>постучал</b> в дверь.,🚪,v
une grille,решётка,La <b>grille</b> est fermée.,<b>Решётка</b> закрыта.,🚧,f
appliquer,применять,<b>Applique</b> cette règle.,<b>Примени</b> это правило.,✅,v
noble,благородный,C'est un <b>noble</b> geste.,Это <b>благородный</b> жест.,👑,adj
piger,понимать (разг.),Tu <b>piges</b> ?,<b>Врубаешься</b>?,🤔,v
hausser,поднимать; пожимать,Il a <b>haussé</b> les épaules.,Он <b>пожал</b> плечами.,🤷,v
repasser,гладить; проходить снова,Je dois <b>repasser</b> ma chemise.,Мне надо <b>погладить</b> рубашку.,👔,v
reprocher,упрекать,Je n'ai rien à te <b>reprocher</b>.,Мне не в чем тебя <b>упрекнуть</b>.,😔,v
une crainte,страх; опасение,J'ai des <b>craintes</b>.,У меня есть <b>опасения</b>.,😰,f
une épée,меч; шпага,Il porte une <b>épée</b>.,Он носит <b>меч</b>.,⚔️,f
voiler,вуалировать; скрывать,La brume <b>voile</b> la vue.,Туман <b>скрывает</b> вид.,🌫️,v
un manque,недостаток; нехватка,Il y a un <b>manque</b> de temps.,Есть <b>нехватка</b> времени.,⏳,m
un foyer,очаг; дом,Le <b>foyer</b> familial.,Семейный <b>очаг</b>.,🏠,m
une lueur,отблеск; проблеск,Une <b>lueur</b> d'espoir.,<b>Проблеск</b> надежды.,✨,f
une activité,деятельность,C'est une <b>activité</b> intéressante.,Это интересное <b>занятие</b>.,📊,f
saigner,кровоточить,Ma main <b>saigne</b>.,У меня <b>кровоточит</b> рука.,🩸,v
dominer,доминировать,Il <b>domine</b> la situation.,Он <b>контролирует</b> ситуацию.,👑,v
un chiffre,цифра,Quel est le <b>chiffre</b> exact ?,Какая точная <b>цифра</b>?,🔢,m
transporter,перевозить,Le camion <b>transporte</b> des marchandises.,Грузовик <b>перевозит</b> товары.,🚚,v
un texte,текст,Lis ce <b>texte</b>.,Прочитай этот <b>текст</b>.,📄,m
un sommet,вершина; саммит,On a atteint le <b>sommet</b>.,Мы достигли <b>вершины</b>.,🏔️,m
un frais,расход; издержки,Les <b>frais</b> de transport.,Транспортные <b>расходы</b>.,💸,m
un modèle,модель; образец,C'est un <b>modèle</b> de succès.,Это <b>образец</b> успеха.,🎯,m
un gant,перчатка,Mets tes <b>gants</b>.,Надень <b>перчатки</b>.,🧤,m
une serviette,полотенце; салфетка,Passe-moi la <b>serviette</b>.,Передай мне <b>полотенце</b>.,🧴,f
un stop,стоп; знак стоп,Arrête-toi au <b>stop</b>.,Остановись у знака <b>стоп</b>.,🛑,m
une hâte,спешка,J'ai <b>hâte</b> de te voir.,<b>Не терпится</b> тебя увидеть.,⏰,f
une difficulté,трудность,J'ai des <b>difficultés</b> financières.,У меня финансовые <b>трудности</b>.,😓,f
opposer,противопоставлять,Il s'<b>oppose</b> à cette décision.,Он <b>выступает против</b> этого решения.,🚫,v
constater,констатировать,Je <b>constate</b> une erreur.,Я <b>констатирую</b> ошибку.,📝,v
"maudit, maudite",проклятый,<b>Maudite</b> voiture !,<b>Проклятая</b> машина!,😤,adj
réagir,реагировать,Comment as-tu <b>réagi</b> ?,Как ты <b>отреагировал</b>?,🤔,v
digne,достойный,C'est un homme <b>digne</b>.,Это <b>достойный</b> человек.,👔,adj
une ordure,мусор; мерзавец,Mets les <b>ordures</b> dehors.,Вынеси <b>мусор</b>.,🗑️,f
armer,вооружать,Il s'est <b>armé</b> d'un couteau.,Он <b>вооружился</b> ножом.,🔪,v
envoler,улетать,L'oiseau s'est <b>envolé</b>.,Птица <b>улетела</b>.,🐦,v
puer,вонять,Ça <b>pue</b> !,Это <b>воняет</b>!,🤢,v
une nana,девушка (разг.),C'est une jolie <b>nana</b>.,Это симпатичная <b>девчонка</b>.,👩,f
minuscule,крошечный,C'est un appartement <b>minuscule</b>.,Это <b>крошечная</b> квартира.,🐜,adj
débarquer,высаживаться; прибывать,Il a <b>débarqué</b> sans prévenir.,Он <b>заявился</b> без предупреждения.,🚢,v
un linge,бельё,<b>Étends</b> le <b>linge</b>.,<b>Развесь</b> <b>бельё</b>.,👕,m
un policier,полицейский,Le <b>policier</b> m'a arrêté.,<b>Полицейский</b> меня остановил.,👮,m
un allié,союзник,C'est notre <b>allié</b>.,Это наш <b>союзник</b>.,🤝,m
une sensation,ощущение,J'ai une <b>sensation</b> étrange.,У меня странное <b>ощущение</b>.,🤔,f
un vieillard,старик,Le <b>vieillard</b> marche lentement.,<b>Старик</b> идёт медленно.,👴,m
essuyer,вытирать,<b>Essuie</b>-toi les mains.,<b>Вытри</b> руки.,🧻,v
étaler,расстилать; выставлять,<b>Étale</b> la nappe sur la table.,<b>Расстели</b> скатерть на столе.,🍽️,v
fidèle,верный,C'est un ami <b>fidèle</b>.,Это <b>верный</b> друг.,🐕,adj
embarquer,садиться (на борт),On va <b>embarquer</b>.,Мы <b>садимся</b> на борт.,🚀,v
une gaffe,оплошность,J'ai fait une <b>gaffe</b>.,Я допустил <b>оплошность</b>.,🙈,f
"délicieux, délicieuse",восхитительный,C'est <b>délicieux</b> !,Это <b>восхитительно</b>!,😋,adj
barrer,перегораживать,La route est <b>barrée</b>.,Дорога <b>перекрыта</b>.,🚧,v
gonfler,надувать,<b>Gonfle</b> le ballon.,<b>Надуй</b> шарик.,🎈,v
jouir,наслаждаться,Je <b>jouis</b> de la vie.,Я <b>наслаждаюсь</b> жизнью.,😊,v
un employé,служащий,L'<b>employé</b> de banque.,<b>Служащий</b> банка.,👔,m
une huile,масло,J'ai ajouté de l'<b>huile</b>.,Я добавил <b>масла</b>.,🫒,f
une statue,статуя,La <b>Statue</b> de la Liberté.,<b>Статуя</b> Свободы.,🗽,f
une religion,религия,La <b>religion</b> catholique.,<b>Католическая</b> религия.,⛪,f
un col,воротник; перевал,Le <b>col</b> de ma chemise.,<b>Воротник</b> моей рубашки.,👔,m
repérer,обнаруживать,Je l'ai <b>repéré</b> dans la foule.,Я его <b>заметил</b> в толпе.,👀,v
un s,буква S,Le pluriel prend un <b>s</b>.,Множественное число с <b>s</b>.,🔤,m
exposer,выставлять; излагать,Le musée <b>expose</b> des tableaux.,Музей <b>выставляет</b> картины.,🖼️,v
un poème,стихотворение,J'ai écrit un <b>poème</b>.,Я написал <b>стихотворение</b>.,📝,m
"gai, gaie",весёлый,Il est toujours <b>gai</b>.,Он всегда <b>весёлый</b>.,😄,adj
plier,складывать; сгибать,<b>Plie</b> la serviette.,<b>Сложи</b> салфетку.,📄,v
un marié,жених; молодожён,Les <b>mariés</b> dansent.,<b>Молодожёны</b> танцуют.,💒,m
décevoir,разочаровывать,Tu m'as <b>déçu</b>.,Ты меня <b>разочаровал</b>.,😞,v
fêter,праздновать,On va <b>fêter</b> ton anniversaire.,Мы будем <b>праздновать</b> твой день рождения.,🎉,v
juin,июнь,"En <b>juin</b>, c'est l'été.",В <b>июне</b> — лето.,☀️,m
un revolver,револьвер,Il a sorti son <b>revolver</b>.,Он достал <b>револьвер</b>.,🔫,m
un shérif,шериф,Le <b>shérif</b> maintient l'ordre.,<b>Шериф</b> поддерживает порядок.,🤠,m
épuiser,истощать,Je suis <b>épuisé</b>.,Я <b>истощён</b>.,😫,v
nager,плавать,J'aime <b>nager</b>.,Я люблю <b>плавать</b>.,🏊,v
"voisin, voisine",соседний,La maison <b>voisine</b>.,<b>Соседний</b> дом.,🏠,adj
un voile,вуаль; завеса,Elle porte un <b>voile</b>.,Она носит <b>вуаль</b>.,🧕,m
une voile,парус; вуаль,Le bateau a une grande <b>voile</b>.,У лодки большой <b>парус</b>.,⛵,f
un pistolet,пистолет,Il a tiré avec un <b>pistolet</b>.,Он выстрелил из <b>пистолета</b>.,🔫,m
"futur, future",будущий,Mon <b>futur</b> appartement.,Моя <b>будущая</b> квартира.,🔮,adj
futur,будущий,Mon <b>futur</b> mari est canadien.,Мой <b>будущий</b> муж — канадец.,🔮,adj
une rumeur,слух,C'est juste une <b>rumeur</b>.,Это просто <b>слух</b>.,👂,f
enseigner,преподавать,Elle <b>enseigne</b> le français.,Она <b>преподаёт</b> французский.,👩‍🏫,v
un récit,рассказ; повествование,C'est un beau <b>récit</b>.,Это красивый <b>рассказ</b>.,📖,m
un bal,бал,On va au <b>bal</b>.,Идём на <b>бал</b>.,💃,m
une obscurité,темнота,L'<b>obscurité</b> m'effraie.,<b>Темнота</b> меня пугает.,🌑,f
une fonction,функция,Quelle est ta <b>fonction</b> ?,Какова твоя <b>должность</b>?,💼,f
"délicat, délicate",деликатный; хрупкий,C'est une situation <b>délicate</b>.,Это <b>деликатная</b> ситуация.,🎀,adj
un ballon,мяч; шарик,Lance-moi le <b>ballon</b>.,Брось мне <b>мяч</b>.,⚽,m
un whisky,виски,Un verre de <b>whisky</b>.,Стакан <b>виски</b>.,🥃,m
déconner,нести чушь (разг.),Tu <b>déconnes</b> ou quoi ?,Ты <b>прикалываешься</b> что ли?,😜,v
un peintre,художник,C'est un grand <b>peintre</b>.,Это великий <b>художник</b>.,🎨,m
une paupière,веко,Mes <b>paupières</b> sont lourdes.,Мои <b>веки</b> тяжёлые.,😴,f
une organisation,организация,C'est une grande <b>organisation</b>.,Это большая <b>организация</b>.,🏢,f
un semblant,видимость,Il fait <b>semblant</b> de dormir.,"Он <b>делает вид</b>, что спит.",🎭,m
une bibliothèque,библиотека,Je vais à la <b>bibliothèque</b>.,Я иду в <b>библиотеку</b>.,📚,f
un atelier,мастерская,Il travaille dans un <b>atelier</b>.,Он работает в <b>мастерской</b>.,🔧,m
"gras, grasse",жирный,C'est trop <b>gras</b>.,Это слишком <b>жирно</b>.,🍔,adj
"intérieur, intérieure",внутренний,La cour <b>intérieure</b>.,<b>Внутренний</b> двор.,🏠,adj
une réaction,реакция,Quelle a été sa <b>réaction</b> ?,Какая была его <b>реакция</b>?,😮,f
un échec,неудача; провал,C'est un <b>échec</b>.,Это <b>провал</b>.,❌,m
humide,влажный,L'air est <b>humide</b>.,Воздух <b>влажный</b>.,💧,adj
une bagnole,тачка (разг.),Ma <b>bagnole</b> est en panne.,Моя <b>тачка</b> сломалась.,🚗,f
"net, nette",чистый; ясный,C'est une amélioration <b>nette</b>.,Это <b>явное</b> улучшение.,✨,adj
un instrument,инструмент,La guitare est mon <b>instrument</b> préféré.,Гитара — мой любимый <b>инструмент</b>.,🎸,m
une monnaie,валюта; мелочь,Tu as de la <b>monnaie</b> ?,У тебя есть <b>мелочь</b>?,💰,f
un poète,поэт,C'est un grand <b>poète</b>.,Это великий <b>поэт</b>.,📜,m
unir,объединять,L'amour <b>unit</b> les gens.,Любовь <b>объединяет</b> людей.,💕,v
un menton,подбородок,Il a un <b>menton</b> carré.,У него квадратный <b>подбородок</b>.,👨,m
estimer,оценивать; уважать,J'<b>estime</b> que c'est juste.,"Я <b>считаю</b>, что это справедливо.",🤔,v
sécher,сушить,<b>Sèche</b> tes cheveux.,<b>Высуши</b> волосы.,💨,v
un usage,использование,C'est l'<b>usage</b> ici.,Таков здесь <b>обычай</b>.,📋,m
une couille,яйцо (груб.),Casse-<b>couilles</b> ! (vulgaire),Достал! (груб.),🤬,f
un tard,поздний час,"Sur le <b>tard</b>, il est arrivé.",<b>Поздно</b> он пришёл.,🌙,m
une pompe,насос; помпа,La <b>pompe</b> à essence.,<b>Насос</b> на заправке.,⛽,f
