French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
une piété,благочестие,Avec <b>piété</b>.,С <b>благочестием</b>.,🙏,f
gazer,травить газом,<b>Gazer</b> les insectes.,<b>Травить</b> насекомых.,💨,v
ferrer,подковывать,<b>Ferrer</b> un cheval.,<b>Подковать</b> лошадь.,🐴,v
verdâtre,зеленоватый,Une couleur <b>verdâtre</b>.,<b>Зеленоватый</b> цвет.,🟢,adj
une fonte,чугун,Une casserole en <b>fonte</b>.,Чугунная <b>кастрюля</b>.,🍳,f
surplomber,нависать,Le rocher <b>surplombe</b> la vallée.,Скала <b>нависает</b> над долиной.,🏔️,v
teindre,красить,<b>Teindre</b> les cheveux.,<b>Красить</b> волосы.,💇,v
un morveux,сопляк,Un petit <b>morveux</b>.,Маленький <b>сопляк</b>.,🧒,m
"méticuleux, méticuleuse",педантичный,Un travail <b>méticuleux</b>.,<b>Педантичная</b> работа.,🔍,adj
trimer,вкалывать,<b>Trimer</b> toute la journée.,<b>Вкалывать</b> весь день.,💪,v
une ortie,крапива,Piqûre d'<b>ortie</b>.,Укол <b>крапивы</b>.,🌿,f
bagarrer,драться,Se <b>bagarrer</b> dans la rue.,<b>Драться</b> на улице.,👊,v
une précipitation,поспешность,Agir avec <b>précipitation</b>.,Действовать с <b>поспешностью</b>.,⚡,f
éjecter,катапультировать,<b>Éjecter</b> le pilote.,<b>Катапультировать</b> пилота.,✈️,v
un rechange,запасной,Une roue de <b>rechange</b>.,<b>Запасное</b> колесо.,🛞,m
un compositeur,композитор,Un grand <b>compositeur</b>.,Великий <b>композитор</b>.,🎼,m
un relevé,выписка,Un <b>relevé</b> bancaire.,Банковская <b>выписка</b>.,📄,m
cramer,сгорать,Le rôti a <b>cramé</b>.,Жаркое <b>сгорело</b>.,🔥,v
un patois,диалект,Parler le <b>patois</b> local.,Говорить на местном <b>диалекте</b>.,🗣️,m
une éventualité,возможность,Envisager toutes les <b>éventualités</b>.,Предусмотреть все <b>возможности</b>.,🤔,f
duper,обманывать,Se laisser <b>duper</b>.,Дать себя <b>обмануть</b>.,🎭,v
un coursier,курьер,Le <b>coursier</b> livre le colis.,<b>Курьер</b> доставляет посылку.,📦,m
un roll,ролл; рок-н-ролл,Le rock and <b>roll</b>.,<b>Рок-н-ролл</b>.,🎸,m
"rayé, rayée",полосатый,Un tissu <b>rayé</b>.,<b>Полосатая</b> ткань.,👔,adj
abrutir,отупеть,La télé l'<b>abrutit</b>.,Телевизор его <b>отупляет</b>.,📺,v
une poisse,невезение,Quelle <b>poisse</b> !,Какое <b>невезение</b>!,😩,f
soprano,сопрано,Une voix de <b>soprano</b>.,Голос <b>сопрано</b>.,🎤,m/f
géomètre,геодезист,Un <b>géomètre</b> expert.,<b>Геодезист</b>-эксперт.,📐,m/f
fortifier,укреплять,<b>Fortifier</b> les défenses.,<b>Укрепить</b> оборону.,🏰,v
infaillible,безошибочный,Une méthode <b>infaillible</b>.,<b>Безошибочный</b> метод.,✅,adj
une relique,реликвия,Une <b>relique</b> sacrée.,Священная <b>реликвия</b>.,⛪,f
"retenu, retenue",сдержанный,Un ton <b>retenu</b>.,<b>Сдержанный</b> тон.,😐,adj
un fondateur,основатель,Le <b>fondateur</b> de l'entreprise.,<b>Основатель</b> компании.,🏢,m
"classé, classée",засекреченный,Un document <b>classé</b>.,<b>Засекреченный</b> документ.,🔒,adj
frimer,выпендриваться,Il aime <b>frimer</b>.,Он любит <b>выпендриваться</b>.,😎,v
un voyeur,вуайерист,Un <b>voyeur</b> curieux.,Любопытный <b>вуайерист</b>.,👀,m
un couché,закат; положение лёжа,Le <b>coucher</b> du soleil.,<b>Закат</b> солнца.,🌅,m
un arrondissement,округ,Le premier <b>arrondissement</b>.,Первый <b>округ</b>.,🗺️,m
une avalanche,лавина,Une <b>avalanche</b> de neige.,Снежная <b>лавина</b>.,🏔️,f
une demi-soeur,сводная сестра,Ma <b>demi-soeur</b> habite loin.,Моя <b>сводная сестра</b> живёт далеко.,👧,f
une violette,фиалка,Un bouquet de <b>violettes</b>.,Букет <b>фиалок</b>.,💜,f
une absurdité,абсурдность,Quelle <b>absurdité</b> !,Какая <b>абсурдность</b>!,🤦,f
une anguille,угорь,Une <b>anguille</b> fumée.,Копчёный <b>угорь</b>.,🐍,f
un agrément,одобрение,Donner son <b>agrément</b>.,Дать <b>одобрение</b>.,✅,m
hypnotiser,гипнотизировать,<b>Hypnotiser</b> un patient.,<b>Загипнотизировать</b> пациента.,🌀,v
un éperon,шпора,Les <b>éperons</b> du cavalier.,<b>Шпоры</b> всадника.,🐴,m
une homosexualité,гомосексуальность,L'<b>homosexualité</b> est naturelle.,<b>Гомосексуальность</b> естественна.,🏳️‍🌈,f
une occurrence,случай,En l'<b>occurrence</b>.,В данном <b>случае</b>.,📝,f
"mutuel, mutuelle",взаимный,Un accord <b>mutuel</b>.,<b>Взаимное</b> согласие.,🤝,adj
un suédois,швед,Mon ami est <b>suédois</b>.,Мой друг — <b>швед</b>.,🇸🇪,m
"bâtard, bâtarde",ублюдочный,Un chien <b>bâtard</b>.,<b>Дворняга</b>.,🐕,adj
gourer,ошибаться,Se <b>gourer</b> de chemin.,<b>Ошибиться</b> дорогой.,❌,v
maritime,морской,Un port <b>maritime</b>.,<b>Морской</b> порт.,🚢,adj
un promeneur,прохожий,Un <b>promeneur</b> solitaire.,Одинокий <b>прохожий</b>.,🚶,m
une menuisière,столярша,La <b>menuisière</b> fabrique des meubles.,<b>Столяр</b> изготавливает мебель.,🪵,f
une prospérité,процветание,La <b>prospérité</b> économique.,Экономическое <b>процветание</b>.,📈,f
"cavalier, cavalière",небрежный,Une attitude <b>cavalière</b>.,<b>Небрежное</b> отношение.,😏,adj
redemander,переспрашивать,<b>Redemander</b> l'adresse.,<b>Переспросить</b> адрес.,❓,v
un menuisier,столяр,Un <b>menuisier</b> qualifié.,Квалифицированный <b>столяр</b>.,🪚,m
"triomphal, triomphale",триумфальный,Un arc <b>triomphal</b>.,<b>Триумфальная</b> арка.,🏛️,adj
un rapprochement,сближение,Un <b>rapprochement</b> diplomatique.,Дипломатическое <b>сближение</b>.,🤝,m
une révision,пересмотр,Une <b>révision</b> du contrat.,<b>Пересмотр</b> контракта.,📋,f
affluer,стекаться,Les touristes <b>affluent</b>.,Туристы <b>стекаются</b>.,👥,v
un correspondant,корреспондент,Un <b>correspondant</b> de guerre.,Военный <b>корреспондент</b>.,📰,m
un historien,историк,Un <b>historien</b> célèbre.,Знаменитый <b>историк</b>.,📖,m
déjouer,расстраивать,<b>Déjouer</b> un complot.,<b>Расстроить</b> заговор.,🎭,v
relayer,сменять,Se <b>relayer</b> au volant.,<b>Сменяться</b> за рулём.,🚗,v
un homosexuel,гомосексуал,Un <b>homosexuel</b> assumé.,Открытый <b>гомосексуал</b>.,🏳️‍🌈,m
écarlate,алый,Devenir <b>écarlate</b>.,Покраснеть <b>как рак</b>.,🔴,adj
"minutieux, minutieuse",тщательный,Un examen <b>minutieux</b>.,<b>Тщательный</b> осмотр.,🔍,adj
compréhensible,понятный,Une explication <b>compréhensible</b>.,<b>Понятное</b> объяснение.,✅,adj
une divinité,божество,Une <b>divinité</b> antique.,Античное <b>божество</b>.,⚡,f
vétérinaire,ветеринар,Le <b>vétérinaire</b> soigne les animaux.,<b>Ветеринар</b> лечит животных.,🐕,m/f
endommager,повреждать,<b>Endommager</b> la voiture.,<b>Повредить</b> машину.,🚗,v
un rôti,жаркое,Un <b>rôti</b> de bœuf.,<b>Жаркое</b> из говядины.,🥩,m
une mathématique,математика,Les <b>mathématiques</b> appliquées.,Прикладная <b>математика</b>.,📐,f
un désaccord,разногласие,Un profond <b>désaccord</b>.,Глубокое <b>разногласие</b>.,❌,m
une arrogance,высокомерие,Avec <b>arrogance</b>.,С <b>высокомерием</b>.,😤,f
une manchette,манжета,Les <b>manchettes</b> de la chemise.,<b>Манжеты</b> рубашки.,👔,f
happer,хватать,<b>Happer</b> une proie.,<b>Схватить</b> добычу.,🐍,v
"adéquat, adéquate",адекватный,Une réponse <b>adéquate</b>.,<b>Адекватный</b> ответ.,✅,adj
un sultan,султан,Le <b>sultan</b> d'Oman.,<b>Султан</b> Омана.,👑,m
une restauration,реставрация,La <b>restauration</b> du tableau.,<b>Реставрация</b> картины.,🖼️,f
un bibelot,безделушка,Un <b>bibelot</b> décoratif.,Декоративная <b>безделушка</b>.,🏺,m
un hockey,хоккей,Jouer au <b>hockey</b> sur glace.,Играть в <b>хоккей</b> на льду.,🏒,m
"bienveillant, bienveillante",благожелательный,Un regard <b>bienveillant</b>.,<b>Благожелательный</b> взгляд.,😊,adj
une amabilité,любезность,Avec <b>amabilité</b>.,С <b>любезностью</b>.,🤗,f
"coûteux, coûteuse",дорогостоящий,Un projet <b>coûteux</b>.,<b>Дорогостоящий</b> проект.,💰,adj
"rusé, rusée",хитрый,Un renard <b>rusé</b>.,<b>Хитрый</b> лис.,🦊,adj
un e-mail,электронное письмо,Envoyer un <b>e-mail</b>.,Отправить <b>электронное письмо</b>.,📧,m
un jules,парень,Mon <b>jules</b> m'attend.,Мой <b>парень</b> меня ждёт.,💑,m
dévier,отклоняться,<b>Dévier</b> de la route.,<b>Отклониться</b> от маршрута.,↪️,v
un brocanteur,старьёвщик,Un <b>brocanteur</b> du marché.,Рыночный <b>старьёвщик</b>.,🏺,m
un gland,жёлудь,Un <b>gland</b> de chêne.,Дубовый <b>жёлудь</b>.,🌰,m
jaunir,желтеть,Les feuilles <b>jaunissent</b>.,Листья <b>желтеют</b>.,🍂,v
un encouragement,поощрение,Un mot d'<b>encouragement</b>.,Слово <b>поощрения</b>.,💪,m
une vivacité,живость,La <b>vivacité</b> de l'esprit.,<b>Живость</b> ума.,⚡,f
une abbaye,аббатство,Une <b>abbaye</b> médiévale.,Средневековое <b>аббатство</b>.,⛪,f
un lord,лорд,Un <b>lord</b> anglais.,Английский <b>лорд</b>.,🎩,m
"trapu, trapue",коренастый,Un homme <b>trapu</b>.,<b>Коренастый</b> мужчина.,💪,adj
une zézette,писька (детск.),La <b>zézette</b> des filles.,<b>Писька</b> девочек.,👶,f
klaxonner,сигналить,<b>Klaxonner</b> à un piéton.,<b>Сигналить</b> пешеходу.,📯,v
un limousin,лимузенец,Le <b>limousin</b> est une race bovine.,<b>Лимузен</b> — порода коров.,🐄,m
une sélection,отбор,Une <b>sélection</b> rigoureuse.,Строгий <b>отбор</b>.,✅,f
un fascisme,фашизм,La montée du <b>fascisme</b>.,Рост <b>фашизма</b>.,⚠️,m
un républicain,республиканец,Un <b>républicain</b> convaincu.,Убеждённый <b>республиканец</b>.,🏛️,m
est,восточный,La côte <b>est</b>.,<b>Восточное</b> побережье.,🧭,adj
un déclic,щелчок,Le <b>déclic</b> de l'appareil.,<b>Щелчок</b> камеры.,📷,m
une affectation,назначение,Une <b>affectation</b> à l'étranger.,<b>Назначение</b> за границу.,📋,f
chiner,рыться на барахолке,<b>Chiner</b> aux puces.,<b>Рыться</b> на блошином рынке.,🔍,v
permis,дозволенный,C'est <b>permis</b> de fumer ici ?,<b>Разрешено</b> здесь курить?,✅,adj
une tueuse,убийца (ж),Une <b>tueuse</b> en série.,Серийная <b>убийца</b>.,🔪,f
un industriel,промышленник,Un riche <b>industriel</b>.,Богатый <b>промышленник</b>.,🏭,m
beige,бежевый,Un manteau <b>beige</b>.,<b>Бежевое</b> пальто.,🧥,adj
"trompeur, trompeuse",обманчивый,Une apparence <b>trompeuse</b>.,<b>Обманчивая</b> внешность.,🎭,adj
un merdeux,засранец (груб.),Petit <b>merdeux</b> !,Маленький <b>засранец</b>!,🤬,m
un résumé,резюме,Faire un <b>résumé</b>.,Составить <b>резюме</b>.,📄,m
"ingénieux, ingénieuse",изобретательный,Une solution <b>ingénieuse</b>.,<b>Изобретательное</b> решение.,💡,adj
siéger,заседать,<b>Siéger</b> au tribunal.,<b>Заседать</b> в суде.,⚖️,v
raccourcir,укорачивать,<b>Raccourcir</b> la jupe.,<b>Укоротить</b> юбку.,👗,v
un artilleur,артиллерист,Un <b>artilleur</b> expérimenté.,Опытный <b>артиллерист</b>.,💣,m
une insouciance,беспечность,Vivre dans l'<b>insouciance</b>.,Жить в <b>беспечности</b>.,😊,f
infirme,инвалид,Un <b>infirme</b> de guerre.,Военный <b>инвалид</b>.,♿,m/f
une manif,демонстрация,Participer à une <b>manif</b>.,Участвовать в <b>демонстрации</b>.,📢,f
un nul,ноль; бездарь,C'est un <b>nul</b> en maths.,Он <b>ноль</b> в математике.,0️⃣,m
une artilleuse,артиллеристка,L'<b>artilleuse</b> tire le canon.,<b>Артиллеристка</b> стреляет из пушки.,💥,f
rétorquer,возражать,<b>Rétorquer</b> vivement.,<b>Резко возразить</b>.,🗣️,v
coriace,жёсткий,Une viande <b>coriace</b>.,<b>Жёсткое</b> мясо.,🥩,adj
"désireux, désireuse",желающий,<b>Désireux</b> de réussir.,<b>Желающий</b> преуспеть.,✨,adj
rôtir,жарить,<b>Rôtir</b> un poulet.,<b>Жарить</b> курицу.,🍗,v
un ragoût,рагу,Un <b>ragoût</b> de légumes.,Овощное <b>рагу</b>.,🥘,m
un score,счёт,Le <b>score</b> final.,Итоговый <b>счёт</b>.,📊,m
réintégrer,восстанавливать,<b>Réintégrer</b> son poste.,<b>Восстановиться</b> на работе.,💼,v
une furie,фурия,Entrer dans une <b>furie</b>.,Впасть в <b>ярость</b>.,😡,f
un lin,лён,Une chemise en <b>lin</b>.,Льняная <b>рубашка</b>.,👔,m
maussade,угрюмый,Un temps <b>maussade</b>.,<b>Угрюмая</b> погода.,🌧️,adj
"frémissant, frémissante",трепещущий,Des lèvres <b>frémissantes</b>.,<b>Трепещущие</b> губы.,💋,adj
un terrorisme,терроризм,Lutter contre le <b>terrorisme</b>.,Бороться с <b>терроризмом</b>.,⚠️,m
précoce,преждевременный,Un enfant <b>précoce</b>.,<b>Одарённый</b> ребёнок.,🧒,adj
un communal,коммунальный (субст.),Les <b>communaux</b> du village.,<b>Общинные земли</b> деревни.,🏘️,m
un pif,нос (разг.),Avoir le <b>pif</b> fin.,Иметь тонкое <b>чутьё</b>.,👃,m
un relent,запашок,Des <b>relents</b> de tabac.,<b>Запашок</b> табака.,💨,m
une restriction,ограничение,Sans <b>restriction</b>.,Без <b>ограничений</b>.,🚫,f
automobile,автомобильный,L'industrie <b>automobile</b>.,<b>Автомобильная</b> промышленность.,🚗,adj
un lampadaire,фонарный столб,Un <b>lampadaire</b> de rue.,Уличный <b>фонарь</b>.,💡,m
"contemporain, contemporaine",современный,L'art <b>contemporain</b>.,<b>Современное</b> искусство.,🎨,adj
sceptique,скептический,Un regard <b>sceptique</b>.,<b>Скептический</b> взгляд.,🤨,adj
un suspens,саспенс,Un film à <b>suspens</b>.,Фильм с <b>саспенсом</b>.,🎬,m
un trio,трио,Un <b>trio</b> de musiciens.,<b>Трио</b> музыкантов.,🎵,m
un prospectus,листовка,Distribuer des <b>prospectus</b>.,Раздавать <b>листовки</b>.,📄,m
une euphorie,эйфория,Une <b>euphorie</b> passagère.,Преходящая <b>эйфория</b>.,😄,f
une cocaïne,кокаин,Trafic de <b>cocaïne</b>.,Торговля <b>кокаином</b>.,⚠️,f
casquer,раскошеливаться,<b>Casquer</b> pour les dégâts.,<b>Раскошелиться</b> за ущерб.,💸,v
une biographie,биография,Écrire une <b>biographie</b>.,Написать <b>биографию</b>.,📖,f
un effondrement,обрушение,L'<b>effondrement</b> du bâtiment.,<b>Обрушение</b> здания.,🏚️,m
une contrée,край,Une <b>contrée</b> lointaine.,Далёкий <b>край</b>.,🌍,f
proférer,произносить,<b>Proférer</b> des menaces.,<b>Произносить</b> угрозы.,🗣️,v
inimaginable,невообразимый,Une beauté <b>inimaginable</b>.,<b>Невообразимая</b> красота.,✨,adj
un figurant,статист,Un <b>figurant</b> de cinéma.,Киношный <b>статист</b>.,🎬,m
un pourcentage,процент,Un <b>pourcentage</b> élevé.,Высокий <b>процент</b>.,📊,m
une frime,понты,C'est de la <b>frime</b>.,Это всё <b>понты</b>.,😏,f
une vérification,проверка,Une <b>vérification</b> d'identité.,<b>Проверка</b> личности.,🔍,f
un noyé,утопленник,On a retrouvé le <b>noyé</b>.,Нашли <b>утопленника</b>.,🌊,m
une constellation,созвездие,La <b>constellation</b> d'Orion.,<b>Созвездие</b> Ориона.,⭐,f
une évocation,упоминание,L'<b>évocation</b> du passé.,<b>Упоминание</b> прошлого.,💭,f
une avidité,алчность,Avec <b>avidité</b>.,С <b>алчностью</b>.,💰,f
une canette,банка,Une <b>canette</b> de bière.,<b>Банка</b> пива.,🍺,f
incorporer,включать,<b>Incorporer</b> dans la recette.,<b>Включить</b> в рецепт.,📝,v
un camping,кемпинг,Faire du <b>camping</b>.,Ходить в <b>кемпинг</b>.,⛺,m
une torpille,торпеда,Lancer une <b>torpille</b>.,Запустить <b>торпеду</b>.,💣,f
"syrien, syrienne",сирийский,Le conflit <b>syrien</b>.,<b>Сирийский</b> конфликт.,🇸🇾,adj
un dictateur,диктатор,Un <b>dictateur</b> cruel.,Жестокий <b>диктатор</b>.,👤,m
un ulcère,язва,Un <b>ulcère</b> à l'estomac.,<b>Язва</b> желудка.,🏥,m
"évanoui, évanouie",потерявший сознание,Elle est <b>évanouie</b>.,Она <b>в обмороке</b>.,😵,adj
un élastique,резинка,Un <b>élastique</b> à cheveux.,<b>Резинка</b> для волос.,💇,m
une dépouille,останки,Les <b>dépouilles</b> mortelles.,Смертные <b>останки</b>.,⚰️,f
un socle,цоколь,Le <b>socle</b> de la statue.,<b>Цоколь</b> статуи.,🗽,m
une lavande,лаванда,Le parfum de <b>lavande</b>.,Аромат <b>лаванды</b>.,💜,f
trimbaler,таскать,<b>Trimbaler</b> des valises.,<b>Таскать</b> чемоданы.,🧳,v
anticiper,предвосхищать,<b>Anticiper</b> les problèmes.,<b>Предвосхищать</b> проблемы.,🔮,v
une égratignure,царапина,Une <b>égratignure</b> au bras.,<b>Царапина</b> на руке.,🩹,f
une négligence,халатность,Une <b>négligence</b> grave.,Грубая <b>халатность</b>.,⚠️,f
une soutane,сутана,Porter une <b>soutane</b>.,Носить <b>сутану</b>.,⛪,f
une domination,господство,La <b>domination</b> mondiale.,Мировое <b>господство</b>.,👑,f
brochant,покрывающий (геральд.),Un lion <b>brochant</b>.,<b>Покрывающий</b> лев.,🦁,adj
ponctuer,пунктуировать,<b>Ponctuer</b> correctement.,Правильно <b>расставлять знаки препинания</b>.,✏️,v
une jenny,прядильная машина,La <b>jenny</b> révolutionna le textile.,<b>Дженни</b> совершила революцию в текстиле.,🧵,f
une vigilance,бдительность,Redoubler de <b>vigilance</b>.,Удвоить <b>бдительность</b>.,👁️,f
un gala,гала-концерт,Un <b>gala</b> de charité.,<b>Благотворительный</b> концерт.,🎭,m
un taudis,трущоба,Vivre dans un <b>taudis</b>.,Жить в <b>трущобе</b>.,🏚️,m
une eau-de-vie,водка,Un verre d'<b>eau-de-vie</b>.,Стакан <b>водки</b>.,🥃,f
"potentiel, potentielle",потенциальный,Un danger <b>potentiel</b>.,<b>Потенциальная</b> опасность.,⚠️,adj
cribler,изрешетить,<b>Cribler</b> de balles.,<b>Изрешетить</b> пулями.,💥,v
un entrepreneur,предприниматель,Un <b>entrepreneur</b> ambitieux.,Амбициозный <b>предприниматель</b>.,💼,m
éternuer,чихать,<b>Éternuer</b> sans cesse.,<b>Чихать</b> без конца.,🤧,v
boutonner,застёгивать,<b>Boutonner</b> sa veste.,<b>Застегнуть</b> пиджак.,🧥,v
muer,линять,Le serpent <b>mue</b>.,Змея <b>линяет</b>.,🐍,v
un tac,щелчок,Répondre du <b>tac</b> au <b>tac</b>.,Отвечать <b>тут же</b>.,⚡,m
"abrupt, abrupte",резкий,Un virage <b>abrupt</b>.,<b>Резкий</b> поворот.,↩️,adj
déléguer,делегировать,<b>Déléguer</b> ses pouvoirs.,<b>Делегировать</b> полномочия.,📋,v
un alphabet,алфавит,Apprendre l'<b>alphabet</b>.,Учить <b>алфавит</b>.,📖,m
"mutilé, mutilée",изувеченный,Un corps <b>mutilé</b>.,<b>Изувеченное</b> тело.,💀,adj
renfermer,содержать,<b>Renfermer</b> un secret.,<b>Содержать</b> секрет.,🔒,v
un contremaître,мастер,Le <b>contremaître</b> de l'usine.,Заводской <b>мастер</b>.,🏭,m
un sportif,спортсмен,Un <b>sportif</b> de haut niveau.,Профессиональный <b>спортсмен</b>.,🏃,m
"démesuré, démesurée",непомерный,Une ambition <b>démesurée</b>.,<b>Непомерные</b> амбиции.,📈,adj
une embrasse,подхват (шторы),L'<b>embrasse</b> du rideau.,<b>Подхват</b> занавески.,🪟,f
essouffler,запыхаться,S'<b>essouffler</b> en courant.,<b>Запыхаться</b> от бега.,😮‍💨,v
"respectif, respective",соответствующий,Leurs places <b>respectives</b>.,Их <b>соответствующие</b> места.,📍,adj
une gâchette,курок,Appuyer sur la <b>gâchette</b>.,Нажать на <b>курок</b>.,🔫,f
une vareuse,куртка,Une <b>vareuse</b> militaire.,Военная <b>куртка</b>.,🧥,f
un patio,внутренний дворик,Un <b>patio</b> ensoleillé.,Солнечный <b>внутренний дворик</b>.,🏡,m
un filtre,фильтр,Un <b>filtre</b> à café.,Кофейный <b>фильтр</b>.,☕,m
narguer,дразнить,<b>Narguer</b> l'ennemi.,<b>Дразнить</b> врага.,😜,v
un mourant,умирающий,Les derniers mots du <b>mourant</b>.,Последние слова <b>умирающего</b>.,💀,m
un proprio,хозяин (разг.),Le <b>proprio</b> de l'appartement.,<b>Хозяин</b> квартиры.,🏠,m
une familiarité,фамильярность,Avec <b>familiarité</b>.,С <b>фамильярностью</b>.,🤝,f
un mufle,хам,Quel <b>mufle</b> !,Какой <b>хам</b>!,😤,m
déchiqueter,разрывать на куски,<b>Déchiqueter</b> du papier.,<b>Рвать</b> бумагу на куски.,📄,v
"forain, foraine",ярмарочный,Une fête <b>foraine</b>.,<b>Ярмарочный</b> праздник.,🎪,adj
une cigale,цикада,Le chant de la <b>cigale</b>.,Пение <b>цикады</b>.,🦗,f
"partant, partante",готовый,Être <b>partant</b> pour l'aventure.,Быть <b>готовым</b> к приключению.,✅,adj
une châsse,рака (мощей),La <b>châsse</b> du saint.,<b>Рака</b> святого.,⛪,f
"bu, bue",выпитый,Une bouteille <b>bue</b>.,<b>Выпитая</b> бутылка.,🍾,adj
un souterrain,подземелье,Un passage <b>souterrain</b>.,<b>Подземный</b> проход.,🕳️,m
un cynisme,цинизм,Un <b>cynisme</b> révoltant.,Возмутительный <b>цинизм</b>.,😤,m
un équivalent,эквивалент,L'<b>équivalent</b> en euros.,<b>Эквивалент</b> в евро.,💶,m
éventrer,потрошить,<b>Éventrer</b> un poisson.,<b>Потрошить</b> рыбу.,🐟,v
introuvable,неуловимый,Un objet <b>introuvable</b>.,<b>Неуловимый</b> предмет.,🔍,adj
un jacques,мужик (устар.),Le <b>Jacques</b> Bonhomme.,<b>Простолюдин</b>.,👤,m
un maestro,маэстро,Le <b>maestro</b> dirige l'orchestre.,<b>Маэстро</b> дирижирует оркестром.,🎼,m
un cambrioleur,взломщик,Un <b>cambrioleur</b> masqué.,<b>Взломщик</b> в маске.,🦹,m
châtier,карать,<b>Châtier</b> les coupables.,<b>Карать</b> виновных.,⚖️,v
revendiquer,требовать,<b>Revendiquer</b> ses droits.,<b>Требовать</b> свои права.,✊,v
un hot-dog,хот-дог,Manger un <b>hot-dog</b>.,Есть <b>хот-дог</b>.,🌭,m
pédaler,крутить педали,<b>Pédaler</b> vite.,Быстро <b>крутить педали</b>.,🚴,v
une déchirure,разрыв,Une <b>déchirure</b> musculaire.,Мышечный <b>разрыв</b>.,💪,f
une réconciliation,примирение,Une <b>réconciliation</b> tardive.,Запоздалое <b>примирение</b>.,🤝,f
un abattoir,бойня,Travailler à l'<b>abattoir</b>.,Работать на <b>бойне</b>.,🏭,m
un mamelon,сосок; холм,Le <b>mamelon</b> du sein.,<b>Сосок</b> груди.,🏔️,m
"prestigieux, prestigieuse",престижный,Une université <b>prestigieuse</b>.,<b>Престижный</b> университет.,🎓,adj
sommeiller,дремать,<b>Sommeiller</b> légèrement.,Слегка <b>дремать</b>.,😴,v
un bruissement,шелест,Le <b>bruissement</b> des feuilles.,<b>Шелест</b> листьев.,🍃,m
une consistance,консистенция,Une <b>consistance</b> crémeuse.,<b>Кремовая</b> консистенция.,🍯,f
un coffret,шкатулка,Un <b>coffret</b> à bijoux.,<b>Шкатулка</b> для украшений.,💎,m
un indic,стукач,Un <b>indic</b> de la police.,Полицейский <b>стукач</b>.,🕵️,m
une érection,эрекция,Avoir une <b>érection</b>.,Иметь <b>эрекцию</b>.,🔬,f
dégainer,выхватывать,<b>Dégainer</b> son arme.,<b>Выхватить</b> оружие.,🔫,v
une inquisition,инквизиция,L'<b>Inquisition</b> espagnole.,Испанская <b>инквизиция</b>.,⛪,f
un about,торец; наконечник,L'<b>about</b> de la poutre.,<b>Торец</b> балки.,🪵,m
un antibiotique,антибиотик,Prendre un <b>antibiotique</b>.,Принять <b>антибиотик</b>.,💊,m
enduire,покрывать,<b>Enduire</b> de crème.,<b>Покрыть</b> кремом.,🧴,v
un pôle,полюс,Le <b>pôle</b> Nord.,Северный <b>полюс</b>.,🧊,m
"fourré, fourrée",с начинкой,Un gâteau <b>fourré</b>.,Торт <b>с начинкой</b>.,🍰,adj
un porte-monnaie,кошелёк,Ouvrir son <b>porte-monnaie</b>.,Открыть <b>кошелёк</b>.,👛,m
entêter,упрямиться,S'<b>entêter</b> à refuser.,<b>Упрямо</b> отказываться.,😤,v
"rageur, rageuse",яростный,Un geste <b>rageur</b>.,<b>Яростный</b> жест.,😠,adj
une affirmation,утверждение,Une <b>affirmation</b> catégorique.,Категоричное <b>утверждение</b>.,📢,f
une seigneurie,сеньория,La <b>seigneurie</b> du château.,<b>Сеньория</b> замка.,🏰,f
"borné, bornée",ограниченный,Un esprit <b>borné</b>.,<b>Ограниченный</b> ум.,🧠,adj
"adoptif, adoptive",приёмный,Un père <b>adoptif</b>.,<b>Приёмный</b> отец.,👨‍👦,adj
"croissant, croissante",возрастающий,Une popularité <b>croissante</b>.,<b>Возрастающая</b> популярность.,📈,adj
unanime,единодушный,Une décision <b>unanime</b>.,<b>Единодушное</b> решение.,✅,adj
un vortex,вихрь,Un <b>vortex</b> temporel.,Временной <b>вихрь</b>.,🌀,m
une chaux,известь,Un mur à la <b>chaux</b>.,Стена из <b>извести</b>.,🧱,f
"manquant, manquante",недостающий,La pièce <b>manquante</b>.,<b>Недостающая</b> деталь.,🧩,adj
ruser,хитрить,<b>Ruser</b> pour s'échapper.,"<b>Хитрить</b>, чтобы сбежать.",🦊,v
un sourd,глухой (субст.),Parler aux <b>sourds</b>.,Говорить <b>глухим</b>.,🧏,m
énigmatique,загадочный,Un sourire <b>énigmatique</b>.,<b>Загадочная</b> улыбка.,🤫,adj
une arquebuse,аркебуза,L'<b>arquebuse</b> est une arme.,<b>Аркебуза</b> — оружие.,🔫,f
un gobelet,стакан,Un <b>gobelet</b> en plastique.,Пластиковый <b>стакан</b>.,🥤,m
étourdir,оглушать,<b>Étourdir</b> un adversaire.,<b>Оглушить</b> противника.,💫,v
un tué,убитый (субст.),Les <b>tués</b> de la guerre.,<b>Погибшие</b> на войне.,🪖,m
"portugais, portugaise",португальский,La cuisine <b>portugaise</b>.,<b>Португальская</b> кухня.,🇵🇹,adj
un retraité,пенсионер,Un <b>retraité</b> actif.,Активный <b>пенсионер</b>.,👴,m
dealer,торговать наркотиками,<b>Dealer</b> de la drogue.,<b>Торговать</b> наркотиками.,⚠️,v
un déporté,депортированный,Un <b>déporté</b> de guerre.,Военный <b>депортированный</b>.,😔,m
