French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
parce que,потому что,conj,Je suis fatigué <b>parce que</b> j'ai mal dormi.,"Я устал, <b>потому что</b> плохо спал.",Connecteur de cause. Le plus courant.,🔍,connecteurs
puisque,раз уж; поскольку,conj,"<b>Puisque</b> tu es là, aide-moi.","<b>Раз уж</b> ты здесь, помоги мне.",Connecteur de cause. Cause évidente/connue.,🔍,connecteurs
comme,так как; поскольку,conj,"<b>Comme</b> il pleuvait, je suis resté.","<b>Так как</b> шёл дождь, я остался.",Connecteur de cause. En début de phrase uniquement.,🔍,connecteurs
étant donné que,учитывая что; поскольку,conj,"<b>Étant donné que</b> les prix augmentent, il faut économiser.","<b>Учитывая, что</b> цены растут, нужно экономить.",Connecteur de cause. Formel. TEF B2.,📊,connecteurs
vu que,учитывая что; поскольку,conj,"<b>Vu que</b> tu es malade, reste chez toi.","<b>Раз уж</b> ты болен, оставайся дома.",Connecteur de cause. Moins formel que étant donné que.,📊,connecteurs
en raison de,по причине; из-за,prep,Le vol est annulé <b>en raison de</b> la météo.,Рейс отменён <b>из-за</b> погоды.,Connecteur de cause. Formel. + NOM.,📊,connecteurs
à cause de,из-за,prep,Je suis en retard <b>à cause de</b> la circulation.,Я опоздал <b>из-за</b> пробок.,Connecteur de cause. ⚠️ Connotation négative!,😤,connecteurs
grâce à,благодаря,prep,J'ai réussi <b>grâce à</b> ton aide.,Я преуспел <b>благодаря</b> твоей помощи.,Connecteur de cause. ⚠️ Connotation positive!,😊,connecteurs
donc,следовательно; поэтому,adv,"Il pleut, <b>donc</b> je prends mon parapluie.","Идёт дождь, <b>поэтому</b> я беру зонт.",Connecteur de conséquence. Le plus courant.,➡️,connecteurs
alors,тогда; поэтому,adv,"Tu as fini ? <b>Alors</b>, on peut partir.",Ты закончил? <b>Тогда</b> можем идти.,Connecteur de conséquence. Oral/écrit.,➡️,connecteurs
par conséquent,следовательно; в результате,adv,"Il n'a pas étudié ; <b>par conséquent</b>, il a échoué.","Он не учился; <b>следовательно</b>, он провалился.",Connecteur de conséquence. Formel. TEF B2.,📌,connecteurs
en conséquence,в результате; следовательно,adv,"Le budget est réduit ; <b>en conséquence</b>, nous devons économiser.","Бюджет сокращён; <b>в результате</b>, мы должны экономить.",Connecteur de conséquence. Formel.,📌,connecteurs
c'est pourquoi,вот почему; поэтому,adv,"Je suis fatigué, <b>c'est pourquoi</b> je vais dormir.","Я устал, <b>вот почему</b> я иду спать.",Connecteur de conséquence. Très utilisé TEF.,📌,connecteurs
ainsi,таким образом; так,adv,"<b>Ainsi</b>, nous pouvons conclure que...","<b>Таким образом</b>, мы можем заключить, что...",Connecteur de conséquence/conclusion. Formel.,📌,connecteurs
de sorte que,так что; таким образом что,conj,"Il a travaillé dur, <b>de sorte qu'</b>il a réussi.","Он много работал, <b>так что</b> преуспел.",Connecteur de conséquence. + indicatif (fait réel).,➡️,connecteurs
si bien que,так что; в результате чего,conj,"Il a plu toute la journée, <b>si bien que</b> le match a été annulé.","Дождь шёл весь день, <b>так что</b> матч отменили.",Connecteur de conséquence. + indicatif.,➡️,connecteurs
pour,для; чтобы,prep,Je travaille <b>pour</b> gagner ma vie.,"Я работаю, <b>чтобы</b> зарабатывать на жизнь.",Connecteur de but. + infinitif.,🎯,connecteurs
pour que,чтобы; для того чтобы,conj,Je t'explique <b>pour que</b> tu comprennes.,"Я объясняю, <b>чтобы</b> ты понял.",Connecteur de but. ⚠️ + SUBJONCTIF!,🎯,connecteurs
afin de,чтобы; с целью,prep,Il étudie <b>afin de</b> réussir l'examen.,"Он учится, <b>чтобы</b> сдать экзамен.",Connecteur de but. Formel. + infinitif.,🎯,connecteurs
afin que,чтобы; для того чтобы,conj,Je te préviens <b>afin que</b> tu sois prêt.,"Я предупреждаю тебя, <b>чтобы</b> ты был готов.",Connecteur de but. Formel. + subjonctif.,🎯,connecteurs
de manière à,так чтобы,prep,Parle fort <b>de manière à</b> être entendu.,"Говори громко, <b>чтобы</b> тебя услышали.",Connecteur de but. + infinitif.,🎯,connecteurs
si,если,conj,"<b>Si</b> tu viens, appelle-moi.","<b>Если</b> придёшь, позвони мне.",Connecteur de condition. ⚠️ Si + présent → futur.,❓,connecteurs
à condition que,при условии что,conj,Je viendrai <b>à condition que</b> tu m'invites.,"Я приду <b>при условии, что</b> ты меня пригласишь.",Connecteur de condition. + subjonctif.,❓,connecteurs
à moins que,если только не; разве что,conj,Je partirai <b>à moins que</b> tu ne me retiennes.,"Я уйду, <b>если только</b> ты меня не удержишь.",Connecteur de condition. + subjonctif + ne explétif.,❓,connecteurs
pourvu que,лишь бы; при условии что,conj,<b>Pourvu que</b> tu sois heureux !,<b>Лишь бы</b> ты был счастлив!,Connecteur de condition/souhait. + subjonctif.,🤞,connecteurs
en cas de,в случае,prep,"<b>En cas de</b> problème, appelez-moi.",<b>В случае</b> проблемы звоните мне.,Connecteur de condition. + NOM.,❓,connecteurs
sinon,иначе; а то,adv,"Dépêche-toi, <b>sinon</b> tu seras en retard.","Торопись, <b>иначе</b> опоздаешь.",Connecteur de condition négative.,⚠️,connecteurs
par exemple,например,adv,"Certains fruits, <b>par exemple</b> les pommes, sont riches en fibres.","Некоторые фрукты, <b>например</b> яблоки, богаты клетчаткой.",Connecteur d'illustration. Très courant TEF.,📝,connecteurs
notamment,в частности; особенно,adv,"Il aime les sports, <b>notamment</b> le tennis.","Он любит спорт, <b>в частности</b> теннис.",Connecteur d'illustration. Formel.,📝,connecteurs
en particulier,в частности; особенно,adv,"J'aime la musique, <b>en particulier</b> le jazz.","Я люблю музыку, <b>особенно</b> джаз.",Connecteur d'illustration.,📝,connecteurs
c'est-à-dire,то есть,adv,"Il arrive demain, <b>c'est-à-dire</b> le 15 janvier.","Он приезжает завтра, <b>то есть</b> 15 января.",Connecteur d'explication. Abréviation: c.-à-d.,📖,connecteurs
autrement dit,другими словами; иначе говоря,adv,"C'est gratuit, <b>autrement dit</b>, ça ne coûte rien.","Это бесплатно, <b>другими словами</b>, это ничего не стоит.",Connecteur d'explication.,📖,connecteurs
en d'autres termes,другими словами,adv,"<b>En d'autres termes</b>, vous refusez ma proposition.","<b>Другими словами</b>, вы отклоняете моё предложение.",Connecteur d'explication. Formel.,📖,connecteurs
en effet,действительно; в самом деле,adv,"Il est malade ; <b>en effet</b>, il a de la fièvre.","Он болен; <b>действительно</b>, у него температура.",Connecteur de confirmation/explication. TEF B2.,✅,connecteurs
d'ailleurs,впрочем; кстати,adv,"Je n'ai pas faim, <b>d'ailleurs</b> je viens de manger.","Я не голоден, <b>впрочем</b>, я только что поел.",Connecteur d'addition/digression. Très courant.,💬,connecteurs
quant à,что касается,prep,"<b>Quant à</b> moi, je préfère rester.","<b>Что касается</b> меня, я предпочитаю остаться.",Connecteur de transition. Introduit un nouveau sujet.,🔄,connecteurs
en ce qui concerne,что касается,prep,"<b>En ce qui concerne</b> ce projet, j'ai des doutes.","<b>Что касается</b> этого проекта, у меня сомнения.",Connecteur de transition. Formel. TEF B2.,🔄,connecteurs
bref,короче говоря; словом,adv,"<b>Bref</b>, tout s'est bien passé.","<b>Короче</b>, всё прошло хорошо.",Connecteur de conclusion/résumé. Oral et écrit.,📋,connecteurs
en résumé,подводя итог; резюмируя,adv,"<b>En résumé</b>, trois points sont essentiels.","<b>Подводя итог</b>, три момента важны.",Connecteur de conclusion. Formel.,📋,connecteurs
en somme,в общем; итого,adv,"<b>En somme</b>, c'était une bonne expérience.","<b>В общем</b>, это был хороший опыт.",Connecteur de conclusion.,📋,connecteurs
pour conclure,в заключение,adv,"<b>Pour conclure</b>, je dirai que cette solution est la meilleure.","<b>В заключение</b> скажу, что это решение лучшее.",Connecteur de conclusion. TEF Expression Écrite.,🏁,connecteurs
en conclusion,в заключение,adv,"<b>En conclusion</b>, ce projet mérite d'être soutenu.","<b>В заключение</b>, этот проект заслуживает поддержки.",Connecteur de conclusion. Formel.,🏁,connecteurs
finalement,в конечном счёте; наконец,adv,"<b>Finalement</b>, il a accepté notre offre.",<b>В конечном счёте</b> он принял наше предложение.,Connecteur de conclusion temporelle.,🏁,connecteurs
en fin de compte,в конечном счёте,adv,"<b>En fin de compte</b>, tout s'est arrangé.",<b>В конечном счёте</b> всё уладилось.,Connecteur de conclusion.,🏁,connecteurs
avoir beau + inf,как ни...; сколько ни...,expr,"J'<b>ai beau</b> chercher, je ne trouve pas mes clés.","<b>Сколько ни</b> ищу, не могу найти ключи.",Concession. Очень частотное! TEF B2.,🔄,constructions
avoir besoin de,нуждаться в; иметь нужду,expr,J'<b>ai besoin de</b> ton aide pour ce projet.,Мне <b>нужна</b> твоя помощь для этого проекта.,+ nom ou infinitif. Базовое выражение.,🆘,constructions
avoir envie de,хотеть; иметь желание,expr,J'<b>ai envie de</b> partir en vacances.,Я <b>хочу</b> поехать в отпуск.,+ infinitif. Synonyme: vouloir.,💭,constructions
avoir l'air de,выглядеть; казаться,expr,Tu <b>as l'air</b> fatigué aujourd'hui.,Ты <b>выглядишь</b> уставшим сегодня.,+ adjectif ou infinitif. Synonyme: sembler.,👀,constructions
avoir l'habitude de,иметь привычку; привыкнуть,expr,J'<b>ai l'habitude de</b> me lever tôt.,Я <b>привык</b> рано вставать.,+ infinitif.,🔁,constructions
avoir l'intention de,намереваться; собираться,expr,J'<b>ai l'intention de</b> déménager au Québec.,Я <b>намереваюсь</b> переехать в Квебек.,+ infinitif. Formel.,🎯,constructions
avoir l'occasion de,иметь возможность,expr,J'<b>ai eu l'occasion de</b> visiter Montréal.,У меня <b>была возможность</b> посетить Монреаль.,+ infinitif.,🎰,constructions
avoir le droit de,иметь право,expr,Vous <b>avez le droit de</b> refuser.,Вы <b>имеете право</b> отказаться.,+ infinitif. Juridique/formel.,⚖️,constructions
avoir le temps de,иметь время,expr,Je n'<b>ai pas le temps de</b> finir ce rapport.,У меня <b>нет времени</b> закончить этот отчёт.,+ infinitif.,⏰,constructions
avoir lieu,происходить; состояться,expr,La réunion <b>aura lieu</b> demain à 10h.,Собрание <b>состоится</b> завтра в 10:00.,Impersonnel/événementiel. Très fréquent!,📅,constructions
avoir peur de,бояться,expr,J'<b>ai peur de</b> rater mon examen.,Я <b>боюсь</b> провалить экзамен.,+ nom ou infinitif.,😨,constructions
avoir raison,быть правым,expr,"Tu <b>as raison</b>, c'est une bonne idée.","Ты <b>прав</b>, это хорошая идея.",Opposé: avoir tort.,✅,constructions
avoir tort,быть неправым; ошибаться,expr,J'<b>ai eu tort</b> de lui faire confiance.,"Я <b>ошибся</b>, доверившись ему.",Opposé: avoir raison.,❌,constructions
avoir hâte de,не терпеться; с нетерпением ждать,expr,J'<b>ai hâte de</b> te revoir !,<b>Не терпится</b> тебя увидеть!,+ infinitif. Québec: très courant.,⏳😊,constructions
avoir tendance à,иметь склонность; склоняться к,expr,Il <b>a tendance à</b> exagérer.,Он <b>склонен</b> преувеличивать.,+ infinitif.,📈,constructions
avoir du mal à,с трудом; испытывать трудности,expr,J'<b>ai du mal à</b> comprendre son accent.,Мне <b>трудно</b> понять его акцент.,+ infinitif. Synonyme: avoir des difficultés à.,😓,constructions
être en train de,быть в процессе; сейчас делать,expr,Je <b>suis en train de</b> travailler.,Я <b>сейчас</b> работаю.,Présent progressif. Очень частотное!,⏳,constructions
être sur le point de,вот-вот; собираться,expr,Le film <b>est sur le point de</b> commencer.,Фильм <b>вот-вот</b> начнётся.,Futur immédiat.,⏱️,constructions
être censé + inf,должен; предполагается что,expr,Tu <b>es censé</b> arriver à 8h.,Ты <b>должен</b> прийти в 8:00.,Obligation/attente. TEF B2.,📋,constructions
être obligé de,быть обязанным; вынужден,expr,Je <b>suis obligé de</b> partir plus tôt.,Я <b>вынужден</b> уйти раньше.,+ infinitif. Obligation forte.,⚠️,constructions
être capable de,быть способным,expr,Elle <b>est capable de</b> résoudre ce problème.,Она <b>способна</b> решить эту проблему.,+ infinitif. Synonyme: pouvoir.,💪,constructions
être prêt à,быть готовым к,expr,Je <b>suis prêt à</b> commencer.,Я <b>готов</b> начать.,+ infinitif.,✅,constructions
être en mesure de,быть в состоянии,expr,Nous ne <b>sommes pas en mesure de</b> vous répondre.,Мы <b>не в состоянии</b> вам ответить.,+ infinitif. Formel.,📊,constructions
être susceptible de,может; возможно,expr,Ce produit <b>est susceptible de</b> causer des allergies.,Этот продукт <b>может</b> вызвать аллергию.,+ infinitif. Formel. Возможность/риск.,⚠️,constructions
être amené à,приходится; вынужден,expr,"Dans ce travail, on <b>est amené à</b> voyager souvent.",На этой работе <b>приходится</b> часто ездить.,+ infinitif. Formel.,🔄,constructions
être tenu de,быть обязанным,expr,Les employés <b>sont tenus de</b> respecter le règlement.,Сотрудники <b>обязаны</b> соблюдать правила.,+ infinitif. Juridique/formel.,⚖️,constructions
faire semblant de,притворяться; делать вид,expr,Il <b>fait semblant de</b> dormir.,"Он <b>притворяется</b>, что спит.",+ infinitif.,🎭,constructions
faire partie de,быть частью; входить в состав,expr,Je <b>fais partie de</b> l'équipe de marketing.,Я <b>вхожу в</b> команду маркетинга.,+ nom.,🧩,constructions
faire attention à,обращать внимание; быть осторожным,expr,<b>Fais attention à</b> la marche !,"<b>Осторожно</b>, ступенька!",+ nom ou infinitif.,⚠️👀,constructions
faire face à,противостоять; столкнуться с,expr,Nous devons <b>faire face à</b> cette crise.,Мы должны <b>противостоять</b> этому кризису.,+ nom. TEF B2.,💪,constructions
faire preuve de,проявлять; демонстрировать,expr,Il a <b>fait preuve de</b> courage.,Он <b>проявил</b> смелость.,+ nom (qualité). Formel. TEF B2.,🏆,constructions
faire appel à,обращаться к; прибегать к,expr,Nous avons <b>fait appel à</b> un expert.,Мы <b>обратились к</b> эксперту.,+ nom.,📞,constructions
faire confiance à,доверять,expr,Je <b>fais confiance à</b> ton jugement.,Я <b>доверяю</b> твоему суждению.,+ nom (personne).,🤝,constructions
se rendre compte de,осознать; понять,expr,Je me <b>suis rendu compte de</b> mon erreur.,Я <b>осознал</b> свою ошибку.,+ nom ou que + phrase. Très fréquent!,💡,constructions
il s'agit de,речь идёт о; дело в,expr,<b>Il s'agit d'</b>un problème sérieux.,<b>Речь идёт о</b> серьёзной проблеме.,Impersonnel. Très fréquent! TEF.,📌,constructions
il paraît que,говорят что; кажется,expr,<b>Il paraît que</b> le directeur va démissionner.,"<b>Говорят, что</b> директор уволится.",Impersonnel. Rumeur/information non confirmée.,💬,constructions
il semble que,кажется что,expr,<b>Il semble que</b> tu aies raison.,"<b>Кажется, что</b> ты прав.",Impersonnel. + subjonctif (souvent).,🤔,constructions
il vaut mieux,лучше,expr,<b>Il vaut mieux</b> partir maintenant.,<b>Лучше</b> уехать сейчас.,Impersonnel. + infinitif ou que + subjonctif.,👍,constructions
il suffit de,достаточно,expr,<b>Il suffit de</b> cliquer sur ce bouton.,<b>Достаточно</b> нажать на эту кнопку.,Impersonnel. + infinitif.,✅,constructions
il convient de,следует; подобает,expr,<b>Il convient de</b> remercier nos partenaires.,<b>Следует</b> поблагодарить наших партнёров.,Impersonnel. Formel. + infinitif.,📋,constructions
il arrive que,случается что; бывает,expr,<b>Il arrive que</b> je sois en retard.,"<b>Бывает</b>, что я опаздываю.",Impersonnel. + subjonctif.,🎲,constructions
il se peut que,возможно что,expr,<b>Il se peut que</b> je parte demain.,"<b>Возможно</b>, я уеду завтра.",Impersonnel. + subjonctif. Synonyme: peut-être que.,🤷,constructions
il est question de,речь идёт о,expr,<b>Il est question de</b> construire un nouveau stade.,<b>Речь идёт о</b> строительстве нового стадиона.,Impersonnel. Synonyme: il s'agit de.,📰,constructions
il va sans dire que,само собой разумеется,expr,<b>Il va sans dire que</b> ta présence est souhaitée.,"<b>Само собой разумеется</b>, что твоё присутствие желательно.",Impersonnel. Formel.,💯,constructions
il est temps de,пора,expr,<b>Il est temps de</b> partir.,<b>Пора</b> уходить.,Impersonnel. + infinitif.,⏰,constructions
il reste à,осталось,expr,<b>Il reste à</b> résoudre quelques problèmes.,<b>Осталось</b> решить несколько проблем.,Impersonnel. + infinitif.,📝,constructions
finir par,в конце концов; в итоге,expr,Il a <b>fini par</b> accepter notre offre.,Он <b>в итоге</b> принял наше предложение.,+ infinitif. Résultat après effort/temps.,🏁,constructions
venir de + inf,только что,expr,Je <b>viens de</b> terminer mon travail.,Я <b>только что</b> закончил работу.,Passé récent. Очень частотное!,⏱️,constructions
aller + inf,собираться; скоро,expr,Je <b>vais</b> partir dans cinq minutes.,Я <b>собираюсь</b> уйти через пять минут.,Futur proche. Базовое!,➡️,constructions
devoir + inf,должен; обязан,expr,Tu <b>dois</b> respecter les règles.,Ты <b>должен</b> соблюдать правила.,Obligation ou probabilité.,⚠️,constructions
pouvoir + inf,мочь; иметь возможность,expr,Je <b>peux</b> t'aider si tu veux.,"Я <b>могу</b> тебе помочь, если хочешь.",Capacité ou permission.,✅,constructions
savoir + inf,уметь,expr,Elle <b>sait</b> jouer du piano.,Она <b>умеет</b> играть на пианино.,⚠️ Savoir = compétence acquise. Pouvoir = capacité physique.,🎹,constructions
à mon avis,по моему мнению,expr,"<b>À mon avis</b>, cette solution est la meilleure.","<b>По моему мнению</b>, это решение лучшее.",Expression d'opinion. TEF Expression Orale. Très courant.,💭,opinion
selon moi,по-моему; на мой взгляд,expr,"<b>Selon moi</b>, il faudrait agir vite.","<b>По-моему</b>, нужно действовать быстро.",Expression d'opinion. Synonyme: à mon avis.,💭,opinion
d'après moi,по-моему; на мой взгляд,expr,"<b>D'après moi</b>, c'est une erreur.","<b>По-моему</b>, это ошибка.",Expression d'opinion.,💭,opinion
pour ma part,что касается меня; со своей стороны,expr,"<b>Pour ma part</b>, je préfère rester neutre.","<b>Что касается меня</b>, я предпочитаю оставаться нейтральным.",Expression d'opinion. Formel.,💭,opinion
en ce qui me concerne,что касается меня,expr,"<b>En ce qui me concerne</b>, je suis d'accord.","<b>Что касается меня</b>, я согласен.",Expression d'opinion. Formel. TEF B2.,💭,opinion
personnellement,лично; по-моему,adv,"<b>Personnellement</b>, je trouve ce film ennuyeux.",<b>Лично</b> я нахожу этот фильм скучным.,Expression d'opinion.,💭,opinion
il me semble que,мне кажется что,expr,<b>Il me semble que</b> tu as raison.,"<b>Мне кажется, что</b> ты прав.",Opinion nuancée. + indicatif.,🤔,opinion
je trouve que,я нахожу что; считаю что,expr,<b>Je trouve que</b> c'est une bonne idée.,"<b>Я считаю, что</b> это хорошая идея.",Opinion. + indicatif.,✅,opinion
je pense que,я думаю что,expr,<b>Je pense que</b> nous devrions partir.,"<b>Я думаю, что</b> нам стоит уйти.",Opinion. + indicatif. ⚠️ Négation + subjonctif.,💭,opinion
je crois que,я считаю что; полагаю,expr,<b>Je crois que</b> c'est possible.,"<b>Полагаю, что</b> это возможно.",Opinion. + indicatif. ⚠️ Négation + subjonctif.,💭,opinion
j'estime que,я считаю что; полагаю,expr,<b>J'estime que</b> cette décision est juste.,"<b>Я считаю, что</b> это решение справедливое.",Opinion. Formel. + indicatif.,📊,opinion
je considère que,я считаю что,expr,<b>Je considère que</b> ce problème est prioritaire.,"<b>Я считаю, что</b> эта проблема приоритетная.",Opinion. Formel.,📊,opinion
je suis convaincu que,я убеждён что,expr,<b>Je suis convaincu que</b> nous réussirons.,"<b>Я убеждён, что</b> мы преуспеем.",Opinion forte. + indicatif.,💪,opinion
je suis persuadé que,я уверен что,expr,<b>Je suis persuadé que</b> c'est la bonne solution.,"<b>Я уверен, что</b> это правильное решение.",Opinion forte. + indicatif.,💪,opinion
j'ai l'impression que,у меня впечатление что,expr,<b>J'ai l'impression que</b> quelque chose ne va pas.,"<b>У меня впечатление, что</b> что-то не так.",Opinion nuancée. + indicatif.,🤔,opinion
il est évident que,очевидно что,expr,<b>Il est évident que</b> ce projet est ambitieux.,"<b>Очевидно, что</b> этот проект амбициозный.",Certitude. + indicatif.,💯,opinion
il est clair que,ясно что,expr,<b>Il est clair que</b> nous avons un problème.,"<b>Ясно, что</b> у нас проблема.",Certitude. + indicatif.,💯,opinion
il est certain que,несомненно что; точно,expr,<b>Il est certain que</b> les prix vont augmenter.,"<b>Несомненно</b>, цены вырастут.",Certitude. + indicatif.,💯,opinion
je suis d'accord,я согласен,expr,<b>Je suis d'accord</b> avec toi sur ce point.,<b>Я согласен</b> с тобой в этом.,Accord. Très courant.,✅,opinion
je suis tout à fait d'accord,я полностью согласен,expr,<b>Je suis tout à fait d'accord</b> avec cette analyse.,<b>Я полностью согласен</b> с этим анализом.,Accord total.,✅✅,opinion
je ne suis pas d'accord,я не согласен,expr,<b>Je ne suis pas d'accord</b> avec cette décision.,<b>Я не согласен</b> с этим решением.,Désaccord.,❌,opinion
je partage ton avis,я разделяю твоё мнение,expr,<b>Je partage ton avis</b> sur cette question.,<b>Я разделяю твоё мнение</b> по этому вопросу.,Accord. Formel.,🤝,opinion
je suis de ton avis,я с тобой согласен,expr,"<b>Je suis de ton avis</b>, il faut agir.","<b>Я с тобой согласен</b>, нужно действовать.",Accord.,🤝,opinion
je doute que,я сомневаюсь что,expr,<b>Je doute que</b> ce soit possible.,"<b>Я сомневаюсь, что</b> это возможно.",Doute. ⚠️ + SUBJONCTIF!,🤨,opinion
je ne pense pas que,я не думаю что,expr,<b>Je ne pense pas que</b> ce soit une bonne idée.,"<b>Я не думаю, что</b> это хорошая идея.",Désaccord/doute. ⚠️ + SUBJONCTIF!,🤔,opinion
je ne crois pas que,я не считаю что,expr,<b>Je ne crois pas que</b> tu aies raison.,"<b>Я не считаю, что</b> ты прав.",Désaccord/doute. ⚠️ + SUBJONCTIF!,🤔,opinion
il est possible que,возможно что,expr,<b>Il est possible que</b> je sois en retard.,"<b>Возможно</b>, я опоздаю.",Possibilité. + subjonctif.,🤷,opinion
il est probable que,вероятно что,expr,<b>Il est probable que</b> le projet sera approuvé.,"<b>Вероятно</b>, проект будет одобрен.",Probabilité. + indicatif (haute probabilité).,📈,opinion
peut-être que,может быть,expr,<b>Peut-être que</b> tu as raison.,"<b>Может быть</b>, ты прав.",Possibilité. + indicatif. Oral.,🤷,opinion
sans doute,вероятно; наверное,adv,Il viendra <b>sans doute</b> demain.,Он <b>наверное</b> придёт завтра.,"⚠️ = probablement, PAS certainement!",📊,opinion
certes... mais,конечно... но,expr,"<b>Certes</b>, c'est cher, <b>mais</b> la qualité est excellente.","<b>Конечно</b>, это дорого, <b>но</b> качество отличное.",Concession argumentative. TEF B2.,↔️,opinion
il faut reconnaître que,надо признать что,expr,<b>Il faut reconnaître que</b> son travail est remarquable.,"<b>Надо признать, что</b> его работа выдающаяся.",Concession. Formel.,🎖️,opinion
force est de constater que,приходится констатировать что,expr,<b>Force est de constater que</b> les résultats sont décevants.,"<b>Приходится констатировать, что</b> результаты разочаровывают.",Très formel. Écrit.,📊,opinion
on ne peut nier que,нельзя отрицать что,expr,<b>On ne peut nier que</b> des progrès ont été faits.,"<b>Нельзя отрицать, что</b> был достигнут прогресс.",Concession. Formel. + indicatif.,✅,opinion
tout le monde sait que,всем известно что,expr,<b>Tout le monde sait que</b> fumer est dangereux.,"<b>Всем известно, что</b> курить опасно.",Fait établi.,💯,opinion
comme chacun sait,как всем известно,expr,"<b>Comme chacun sait</b>, le réchauffement climatique est un problème.","<b>Как всем известно</b>, глобальное потепление — проблема.",Fait établi. Formel.,📢,opinion
de toute évidence,совершенно очевидно,adv,"<b>De toute évidence</b>, il ment.","<b>Совершенно очевидно</b>, он врёт.",Certitude.,💯,opinion
à vrai dire,по правде говоря,adv,"<b>À vrai dire</b>, je n'ai pas très envie d'y aller.","<b>По правде говоря</b>, мне не очень хочется туда идти.",Honnêteté/aveu.,🤫,opinion
franchement,честно говоря; откровенно,adv,"<b>Franchement</b>, je trouve ça ridicule.","<b>Честно говоря</b>, я нахожу это смешным.",Opinion directe.,💬,opinion
honnêtement,честно говоря,adv,"<b>Honnêtement</b>, je ne sais pas quoi faire.","<b>Честно говоря</b>, я не знаю, что делать.",Opinion sincère.,💬,opinion
à l'époque,в то время; тогда,adv,"<b>À l'époque</b>, je vivais à Paris.",<b>В то время</b> я жил в Париже.,Référence au passé.,📅,temps
autrefois,раньше; в прежние времена,adv,"<b>Autrefois</b>, les gens voyageaient moins.",<b>Раньше</b> люди путешествовали меньше.,Passé lointain. Formel.,🏛️,temps
jadis,некогда; встарь,adv,"<b>Jadis</b>, ce château était habité.",<b>Некогда</b> этот замок был обитаем.,Passé très lointain. Littéraire.,🏰,temps
auparavant,ранее; прежде,adv,"<b>Auparavant</b>, il travaillait dans une banque.",<b>Ранее</b> он работал в банке.,Avant un moment passé. Formel.,⏪,temps
il y a,назад (о времени),prep,J'ai déménagé <b>il y a</b> trois ans.,Я переехал <b>три года назад</b>.,⚠️ Il y a + durée = ago.,⏱️,temps
depuis,с; в течение,prep,Je vis ici <b>depuis</b> 2020.,Я живу здесь <b>с</b> 2020 года.,Durée jusqu'au présent. + présent en français!,⏳,temps
pendant,в течение; во время,prep,"<b>Pendant</b> les vacances, j'ai voyagé.",<b>Во время</b> каникул я путешествовал.,Durée limitée dans le passé.,📅,temps
durant,в течение; во время,prep,"<b>Durant</b> son séjour, il a visité plusieurs musées.",<b>В течение</b> пребывания он посетил несколько музеев.,Synonyme formel de pendant.,📅,temps
au cours de,в ходе; в течение,prep,"<b>Au cours de</b> cette réunion, plusieurs décisions ont été prises.",<b>В ходе</b> этого собрания было принято несколько решений.,Formel. TEF B2.,📊,temps
de nos jours,в наши дни; сегодня,adv,"<b>De nos jours</b>, tout le monde a un smartphone.",<b>В наши дни</b> у всех есть смартфон.,Présent général. TEF B2.,📱,temps
actuellement,в настоящее время; сейчас,adv,"<b>Actuellement</b>, je cherche un emploi.",<b>В настоящее время</b> я ищу работу.,⚠️ Faux ami! ≠ actually (en fait).,📍,temps
en ce moment,сейчас; в данный момент,adv,"<b>En ce moment</b>, je suis très occupé.",<b>Сейчас</b> я очень занят.,Présent ponctuel.,📍,temps
à présent,сейчас; теперь,adv,"<b>À présent</b>, passons au deuxième point.",<b>Теперь</b> перейдём ко второму пункту.,Présent. Formel.,📍,temps
désormais,отныне; впредь,adv,"<b>Désormais</b>, les réunions auront lieu le lundi.",<b>Отныне</b> собрания будут по понедельникам.,À partir de maintenant. Formel. TEF B2.,➡️,temps
dorénavant,впредь; отныне,adv,"<b>Dorénavant</b>, je ferai plus attention.",<b>Впредь</b> я буду внимательнее.,Synonyme de désormais. Très formel.,➡️,temps
à l'avenir,в будущем; впредь,adv,"<b>À l'avenir</b>, évitez ce genre d'erreurs.",<b>В будущем</b> избегайте таких ошибок.,Futur. Conseil/avertissement.,🔮,temps
prochainement,в ближайшее время; скоро,adv,Le nouveau magasin ouvrira <b>prochainement</b>.,Новый магазин откроется <b>в ближайшее время</b>.,Futur proche.,📅,temps
bientôt,скоро; вскоре,adv,Je reviendrai <b>bientôt</b>.,Я <b>скоро</b> вернусь.,Futur proche. Courant.,⏳,temps
à la longue,со временем; в конечном счёте,adv,"<b>À la longue</b>, tu t'y habitueras.",<b>Со временем</b> ты привыкнешь.,Après une longue période.,⏳,temps
au fur et à mesure,по мере; постепенно,adv,J'apprends <b>au fur et à mesure</b>.,Я учусь <b>постепенно</b>.,Progression graduelle. TEF B2.,📈,temps
peu à peu,мало-помалу; постепенно,adv,"<b>Peu à peu</b>, la situation s'améliore.",<b>Мало-помалу</b> ситуация улучшается.,Progression graduelle.,📈,temps
progressivement,постепенно,adv,Les températures augmentent <b>progressivement</b>.,Температура <b>постепенно</b> повышается.,Progression graduelle. Formel.,📈,temps
tout à coup,вдруг; внезапно,adv,"<b>Tout à coup</b>, il a commencé à pleuvoir.",<b>Вдруг</b> начался дождь.,Soudaineté.,⚡,temps
